fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A3_multiserver_c8_loadLow,A3,alloff,3,29,11,163,6,39,0.00582334445957557,Infinity,match-ln,
C2_infTaskShared,C2,alloff,2,39,8,289,2,43,0.009972994668301764,Infinity,match-ln,
C2_infTaskSimple,C2,alloff,2,19,9,121,2,36,0.004050932688492271,Infinity,match-ln,
B_scaleAxis_tasks10_fanout,B,alloff,10,215,20,3977,7,100,0.46596183249785894,Infinity,match-neither,
A1_chain_d5_N100,A1,alloff,3,52,11,1051,50,58,0.027295913785138286,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N20,A2,alloff,2,50,6,244,10,48,0.11214813562043253,Infinity,match-neither,
A2_multiclassA_2refs_loadHigh_N50,A2,alloff,2,26,5,155,10,46,0.2425566857578612,Infinity,match-neither,
C4_lowDemand,C4,alloff,3,15,9,96,6,41,0.22003494219250544,Infinity,match-neither,
C3_multiclassMultiEntry_asymmetric,C3,alloff,2,25,16,479,10,40,0.13402306500301925,Infinity,match-neither,
C2_infTaskDeep,C2,alloff,3,43,13,619,2,41,0.008263180406543495,Infinity,match-ln,
C5_satFanout_tasks10,C5,alloff,11,170,62,16962,12,175,0.4675956060639774,Infinity,match-neither,
C5_satFanout_tasks20,C5,alloff,10,859,22,10695,7,651,0.605258312751132,Infinity,match-neither,
C5_satFanoutCaller_w2,C5,alloff,18,52,41,3169,26,45,0.452093951540234,Infinity,match-neither,
C5_satFanoutCaller_w3,C5,alloff,18,36,51,4989,29,38,0.4813814340863295,Infinity,match-neither,
C5_satFanoutCaller_w4,C5,alloff,21,47,62,7512,31,58,0.4382957127703193,Infinity,match-neither,
A4_retryLoop,A4,alloff,4,23,17,286,10,43,0.0033023310017926263,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N20,A2,alloff,2,21,22,590,9,39,0.021492800633879195,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N50,A2,alloff,2,25,22,591,10,37,0.025353153534022135,Infinity,match-ln,
A4_chainPlusFanout,A4,alloff,6,35,17,1151,9,42,0.04762119168890329,Infinity,match-ln,
C6_andForkPsHost,C6,alloff,3,291,8,2474,50,48,0.34999460514248565,Infinity,match-neither,
A3_multiserver_c8_loadHigh,A3,alloff,3,13,12,123,8,37,0.007329618005019783,Infinity,match-ln,
C6_multiclassAndFork,C6,alloff,2,701,8,7757,8,59,1.0757938281459847,Infinity,match-neither,
A4_threeTier_sequence,A4,alloff,4,39,13,268,6,38,0.041632518913363295,Infinity,match-ln,
A4_parallelService_andFork,A4,alloff,2,202,9,2653,8,35,0.005352860013582653,Infinity,match-ln,
A3_multiserver_c2_loadMedium,A3,alloff,3,11,13,111,7,34,0.004175971586271293,Infinity,match-ln,
A5_orForkUneven,A5,alloff,3,14,12,126,,,0.008033392019441069,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_696e0ddb.lqnx:19: error: Task \
A2_multiclassB_2refs_demands_3to1_N20,A2,alloff,2,22,20,593,9,36,0.012146904485412243,Infinity,match-ln,
A2_multiclassB_2refs_demands_3to1_N50,A2,alloff,2,27,20,543,10,35,0.015040885009215866,Infinity,match-ln,
B_scaleAxis_tasks5_chain,B,alloff,3,32,16,1318,14,40,0.030444007275982378,Infinity,match-ln,
A3_multiserver_c4_loadMedium,A3,alloff,3,11,12,110,7,35,0.005667287806220049,Infinity,match-ln,
C1_fanOut2_caller_c1,C1,alloff,8,18,15,258,7,39,0.29237974896047575,Infinity,match-neither,
C1_fanOut2_caller_c2,C1,alloff,8,32,15,363,7,40,0.29237974896047597,Infinity,match-neither,
A3_multiserver_c4_loadHigh,A3,alloff,3,11,12,119,8,39,0.0065578518970306815,Infinity,match-ln,
A4_multiclass_multiserver,A4,alloff,2,23,15,662,10,43,0.011955336757201125,Infinity,match-ln,
A4_threeTier_multiclass,A4,alloff,5,28,16,1069,13,38,0.016920646906749243,Infinity,match-ln,
A3_multiserver_c2_loadHigh,A3,alloff,3,10,13,115,8,33,0.0049300535163515095,Infinity,match-ln,
A3_multiserver_c8_loadMedium,A3,alloff,3,10,12,110,7,34,0.00598971659154739,Infinity,match-ln,
A4_replyThenLog,A4,alloff,3,14,8,84,2,35,0.008858859442393573,Infinity,match-ln,
A4_multiclass_multientry,A4,alloff,2,26,10,431,9,45,0.04584763804479864,Infinity,match-ln,
A5_replyAtBound,A5,alloff,3,13,8,78,2,34,0.011028272498523178,Infinity,match-ln,
C1_fanOut4_caller_c1,C1,alloff,9,38,17,504,7,40,0.3039969818894362,Infinity,match-neither,
C1_fanOut4_caller_c2,C1,alloff,9,42,17,548,7,46,0.3039969818894362,Infinity,match-neither,
A2_multiclassA_2refs_loadLow_N20,A2,alloff,2,21,7,183,9,30,0.03789778609607682,Infinity,match-ln,
A2_multiclassA_2refs_loadLow_N50,A2,alloff,2,17,6,163,10,31,0.10961949220268133,Infinity,match-neither,
A2_multiclassC_2refs_think_4to1_N20,A2,alloff,2,21,21,558,10,40,0.0076984415805153444,Infinity,match-ln,
A2_multiclassC_2refs_think_4to1_N50,A2,alloff,2,18,24,653,10,37,0.005810523210033106,Infinity,match-ln,
C3_multiclassMultiEntry_2refs,C3,alloff,2,18,10,163,9,38,0.045809239535947635,Infinity,match-ln,
C3_multiclassMultiEntry_3refs,C3,alloff,2,29,14,496,9,44,0.01800275844422749,Infinity,match-ln,
B_scaleAxis_tasks10_chain,B,alloff,3,57,32,5154,21,46,0.027658875587171346,Infinity,match-ln,
C4_nearSaturation,C4,alloff,3,11,14,219,12,31,0.023262115013532175,Infinity,match-ln,
A3_multiserver_c2_loadLow,A3,alloff,3,9,12,96,6,28,0.007099070468767895,Infinity,match-ln,
B_scaleAxis_tasks60_chain,B,alloff,3,618,184,139794,50,289,0.029944319567486593,Infinity,match-ln,
A4_databaseBackend,A4,alloff,4,21,19,302,9,24,0.0021994002192555163,Infinity,match-ln,
B_scaleAxis_tasks20_fanout,B,alloff,10,594,21,9644,6,501,0.5942304042307432,Infinity,match-neither,
A5_andForkMultiAct,A5,alloff,2,427,9,3739,8,26,0.005352861869724016,Infinity,match-ln,
A3_multiserver_c4_loadLow,A3,alloff,3,11,11,83,6,23,0.005770564890113402,Infinity,match-ln,
A2_multiclassC_2refs_think_2to1_N20,A2,alloff,2,18,19,384,9,27,0.00735791727469529,Infinity,match-ln,
A2_multiclassC_2refs_think_2to1_N50,A2,alloff,2,17,22,418,10,23,0.004922344449298784,Infinity,match-ln,
B_scaleAxis_tasks40_chain,B,alloff,3,222,123,67436,50,136,0.0308670133450188,Infinity,match-ln,
B_scaleAxis_tasks40_fanout,B,alloff,9,4235,22,29103,6,3575,0.7233438977725848,Infinity,match-neither,
A1_chain_d3_N50,A1,alloff,3,16,9,294,12,25,0.015961729747159432,Infinity,match-ln,
A1_chain_d5_N20,A1,alloff,3,23,19,313,14,26,0.01655575748438885,Infinity,match-ln,
A1_chain_d5_N50,A1,alloff,3,26,13,802,15,28,0.03085927065281824,Infinity,match-ln,
A1_chain_d8_N50,A1,alloff,3,35,22,1820,19,34,0.035351481761485073,Infinity,match-ln,
C7_deepChainAllExp,C7,alloff,3,21,34,993,50,29,1.3028602637320907,Infinity,match-neither,
A5_seqMultiEntry,A5,alloff,3,17,10,127,9,23,0.015687126711103328,Infinity,match-ln,
A5_andForkThreeWay,A5,alloff,2,186,9,2308,9,25,0.009512839163839685,Infinity,match-ln,
C1_fanOut3_caller_c1,C1,alloff,9,27,16,247,8,27,0.3625354600326029,Infinity,match-neither,
C1_fanOut3_caller_c2,C1,alloff,9,22,16,225,8,25,0.3625354600326029,Infinity,match-neither,
C4_predicateThreshold,C4,alloff,2,7,9,55,5,25,0.00520833656250014,Infinity,match-ln,
B_scaleAxis_tasks5_fanout,B,alloff,10,32,18,866,6,23,0.280749599767185,Infinity,match-neither,
A5_combinedDag,A5,alloff,2,656,9,5193,,,0.009836346480156627,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_59055dd7.lqnx:34: error: Symbol \
A4_webApplication,A4,alloff,4,23,11,349,6,21,0.011420513523316357,Infinity,match-ln,
C7_deepChainMultiCall,C7,alloff,4,16,13,279,14,27,0.3685981924645206,Infinity,match-neither,
A5_orForkThreeWay,A5,alloff,3,13,13,105,,,0.00481676197274469,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_93124502.lqnx:19: error: Task \
B_scaleAxis_tasks60_fanout,B,alloff,8,13260,22,66415,5,15438,0.8083572368606623,Infinity,match-neither,
B_scaleAxis_tasks20_chain,B,alloff,3,92,63,11983,34,56,0.026840218729937543,Infinity,match-ln,
C5_satFanout_tasks5,C5,alloff,26,40,71,6476,42,41,0.45900192430675446,Infinity,match-neither,
