fixture_name,partition,condition,solver,node_name,node_type,server_count,qlen,util,respt,residt,tput
A1_chain_d3_N50,A1,f20off,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N50,A1,f20off,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N50,A1,f20off,LN,P3,Processor,1,NaN,0.9999980447922918,NaN,NaN,NaN
A1_chain_d3_N50,A1,f20off,LN,T1,RefTask,1,48.27048030617352,0.0,NaN,0.0,5.03144365810491
A1_chain_d3_N50,A1,f20off,LN,T2,Task,1,47.69894250943829,0.0,NaN,0.0,4.992194876349318
A1_chain_d3_N50,A1,f20off,LN,T3,Task,1,47.65624607005701,0.9999980447922918,NaN,9.53126784961977,4.9999902239614595
A1_chain_d3_N50,A1,f20off,LN,E1,Entry,1,48.27048030617352,NaN,9.593763457614582,NaN,5.03144365810491
A1_chain_d3_N50,A1,f20off,LN,E2,Entry,1,47.69894250943829,NaN,9.554703630544061,NaN,4.992194876349318
A1_chain_d3_N50,A1,f20off,LN,E3,Entry,1,47.65624607005701,NaN,9.53126784961977,NaN,4.9999902239614595
A1_chain_d3_N50,A1,f20off,LN,AS1,Activity,1,48.27048036230874,0.0,9.59376346877146,0.0,5.031443658104911
A1_chain_d3_N50,A1,f20off,LN,AS2,Activity,1,47.698942565181014,0.0,9.554703641710034,0.0,4.992194876349319
A1_chain_d3_N50,A1,f20off,LN,AS3,Activity,1,47.53906722329394,0.9999980447922918,9.50783203444527,9.53126784961977,4.999990223961459
A1_chain_d5_N20,A1,f20off,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,f20off,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,f20off,LN,P3,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,f20off,LN,P4,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,f20off,LN,P5,Processor,1,NaN,0.9999999995995307,NaN,NaN,NaN
A1_chain_d5_N20,A1,f20off,LN,T1,RefTask,1,17.328469832852317,0.0,NaN,0.0,4.918569356498743
A1_chain_d5_N20,A1,f20off,LN,T2,Task,1,17.377748979542094,0.0,NaN,0.0,4.944807133041008
A1_chain_d5_N20,A1,f20off,LN,T3,Task,1,17.41555908332608,0.0,NaN,0.0,4.96341028784121
A1_chain_d5_N20,A1,f20off,LN,T4,Task,1,17.443676122651954,0.0,NaN,0.0,4.976346888131593
A1_chain_d5_N20,A1,f20off,LN,T5,Task,1,17.51590663396857,0.9999999995995307,NaN,3.50318132819663,4.999999997997654
A1_chain_d5_N20,A1,f20off,LN,E1,Entry,1,17.328469832852317,NaN,3.523071156851084,NaN,4.918569356498743
A1_chain_d5_N20,A1,f20off,LN,E2,Entry,1,17.377748979542094,NaN,3.5143431304781645,NaN,4.944807133041008
A1_chain_d5_N20,A1,f20off,LN,E3,Entry,1,17.41555908332608,NaN,3.508788932075333,NaN,4.96341028784121
A1_chain_d5_N20,A1,f20off,LN,E4,Entry,1,17.443676122651954,NaN,3.505317558198061,NaN,4.976346888131593
A1_chain_d5_N20,A1,f20off,LN,E5,Entry,1,17.51590663396857,NaN,3.50318132819663,NaN,4.999999997997654
A1_chain_d5_N20,A1,f20off,LN,AS1,Activity,1,17.328469882038018,0.0,3.523071166851084,0.0,4.918569356498745
A1_chain_d5_N20,A1,f20off,LN,AS2,Activity,1,17.377749028990166,0.0,3.514343140478164,0.0,4.944807133041009
A1_chain_d5_N20,A1,f20off,LN,AS3,Activity,1,17.41555913296019,0.0,3.508788942075333,0.0,4.963410287841212
A1_chain_d5_N20,A1,f20off,LN,AS4,Activity,1,17.44367617241543,0.0,3.505317568198061,0.0,4.976346888131594
A1_chain_d5_N20,A1,f20off,LN,AS5,Activity,1,17.505225483965692,0.9999999995995307,3.5010450981951995,3.50318132819663,4.999999997997653
A1_chain_d5_N50,A1,f20off,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,f20off,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,f20off,LN,P3,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,f20off,LN,P4,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,f20off,LN,P5,Processor,1,NaN,0.99999822463804,NaN,NaN,NaN
A1_chain_d5_N50,A1,f20off,LN,T1,RefTask,1,47.290660286753244,0.0,NaN,0.0,4.850322582667968
A1_chain_d5_N50,A1,f20off,LN,T2,Task,1,47.092941227030586,0.0,NaN,0.0,4.8641453971705975
