fixture,partition,drift_baseline_to_f20off,drift_baseline_to_f20off_at,drift_baseline_to_armA,drift_baseline_to_armA_at,dist_baseline_to_lqsim,dist_f20off_to_lqsim,direction,closer_cells,further_cells
A1_chain_d3_N50,A1,0.016220532191835224,E1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A1_chain_d5_N100,A1,0.02806189540754202,E1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A1_chain_d5_N20,A1,0.0162861470508392,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A1_chain_d5_N50,A1,0.029933530202458335,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A1_chain_d8_N50,A1,0.034139376143232494,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassA_2refs_loadHigh_N20,A2,0.12631557169422783,ER2.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassA_2refs_loadHigh_N50,A2,0.32023326766851873,ER2.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassA_2refs_loadLow_N20,A2,0.039402892217558515,ER2.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassA_2refs_loadLow_N50,A2,0.12313517638218717,ER1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassB_2refs_demands_3to1_N20,A2,0.01203631044473361,ER1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassB_2refs_demands_3to1_N50,A2,0.014834535491985166,ER1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassB_2refs_demands_5to1_N20,A2,0.021082852012725584,ER1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassB_2refs_demands_5to1_N50,A2,0.024764128714201708,ER1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassC_2refs_think_2to1_N20,A2,0.007226342229755631,A1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassC_2refs_think_2to1_N50,A2,0.004885311933709483,ER2.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassC_2refs_think_4to1_N20,A2,0.005245108293650056,A1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A2_multiclassC_2refs_think_4to1_N50,A2,0.005924256484947701,ER1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c2_loadHigh,A3,0.0049058658323622335,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c2_loadLow,A3,0.007149818629748269,E1.respt,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c2_loadMedium,A3,0.004158603375070595,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c4_loadHigh,A3,0.006515122850603614,A1.tput,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c4_loadLow,A3,0.005804048685756607,A1.respt,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c4_loadMedium,A3,0.005635346348839204,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c8_loadHigh,A3,0.00727628122309304,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c8_loadLow,A3,0.005857444443284932,E1.respt,-inf,.,-inf,-inf,no-drift,0,0
A3_multiserver_c8_loadMedium,A3,0.005954048811512662,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A4_chainPlusFanout,A4,0.003877338939936298,A_R2.tput,-inf,.,-inf,-inf,no-drift,0,0
A4_databaseBackend,A4,0.002204250608505604,E1.respt,-inf,.,-inf,-inf,no-drift,0,0
A4_multiclass_multientry,A4,0.04368397285811245,ER2.qlen,-inf,.,-inf,-inf,no-drift,0,0
A4_multiclass_multiserver,A4,0.01143158164639412,A1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A4_parallelService_andFork,A4,0.005235053691269759,EC.tput,-inf,.,-inf,-inf,no-drift,0,0
A4_replyThenLog,A4,0.008938041510466961,A_client.qlen,-inf,.,-inf,-inf,no-drift,0,0
A4_retryLoop,A4,0.0032914662764110697,EC.tput,-inf,.,-inf,-inf,no-drift,0,0
A4_threeTier_multiclass,A4,0.018346173822048797,ER1.tput,-inf,.,-inf,-inf,no-drift,0,0
A4_threeTier_sequence,A4,0.0033350764894862998,EC.tput,-inf,.,-inf,-inf,no-drift,0,0
A4_webApplication,A4,0.011552450009799467,AAppB.residt,-inf,.,-inf,-inf,no-drift,0,0
A5_andForkMultiAct,?,0.0052350536859947635,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A5_andForkThreeWay,?,0.009462072402796048,E1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A5_combinedDag,?,0.0077522000000869356,A1.qlen,-inf,.,-inf,-inf,no-drift,0,0
A5_orForkThreeWay,?,0.004793664903258571,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A5_orForkUneven,?,0.00796936877370987,E1.tput,-inf,.,-inf,-inf,no-drift,0,0
A5_replyAtBound,?,0.006943620418677485,A1.respt,-inf,.,-inf,-inf,no-drift,0,0
