fixture_name,partition,condition,solver,node_name,node_type,server_count,qlen,util,respt,residt,tput
A1_chain_d3_N20,A1,baseline,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N20,A1,baseline,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N20,A1,baseline,LN,P3,Processor,1,NaN,0.9999999995870159,NaN,NaN,NaN
A1_chain_d3_N20,A1,baseline,LN,T1,RefTask,1,17.499999869443027,0.0,NaN,0.0,5.000000060338028
A1_chain_d3_N20,A1,baseline,LN,T2,Task,1,17.499999738354404,0.0,NaN,0.0,5.000000022884168
A1_chain_d3_N20,A1,baseline,LN,T3,Task,1,17.499999651032525,0.9999999995870159,NaN,3.4999999316519492,4.999999997935079
A1_chain_d3_N20,A1,baseline,LN,E1,Entry,1,17.499999869443027,NaN,3.4999999316519865,NaN,5.000000060338028
A1_chain_d3_N20,A1,baseline,LN,E2,Entry,1,17.499999738354404,NaN,3.4999999316519634,NaN,5.000000022884168
A1_chain_d3_N20,A1,baseline,LN,E3,Entry,1,17.499999651032525,NaN,3.4999999316519492,NaN,4.999999997935079
A1_chain_d3_N20,A1,baseline,LN,AS1,Activity,1,17.499999914461856,0.0,3.499999940655752,0.0,5.000000060338029
A1_chain_d3_N20,A1,baseline,LN,AS2,Activity,1,17.499999778364042,0.0,3.49999993965389,0.0,5.000000022884169
A1_chain_d3_N20,A1,baseline,LN,AS3,Activity,1,17.499999651032688,0.9999999995870159,3.4999999316519825,3.4999999316519492,4.999999997935078
A1_chain_d3_N50,A1,baseline,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N50,A1,baseline,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N50,A1,baseline,LN,P3,Processor,1,NaN,0.9999979704154855,NaN,NaN,NaN
A1_chain_d3_N50,A1,baseline,LN,T1,RefTask,1,47.50000494682127,0.0,NaN,0.0,4.999989882775424
A1_chain_d3_N50,A1,baseline,LN,T2,Task,1,47.5000048020056,0.0,NaN,0.0,4.999989849608722
A1_chain_d3_N50,A1,baseline,LN,T3,Task,1,47.500004995727075,0.9999979704154855,NaN,9.500020280239461,4.999989852077428
A1_chain_d3_N50,A1,baseline,LN,E1,Entry,1,47.50000494682127,NaN,9.500020212131847,NaN,4.999989882775424
A1_chain_d3_N50,A1,baseline,LN,E2,Entry,1,47.5000048020056,NaN,9.500020246185649,NaN,4.999989849608722
A1_chain_d3_N50,A1,baseline,LN,E3,Entry,1,47.500004995727075,NaN,9.500020280239461,NaN,4.999989852077428
A1_chain_d3_N50,A1,baseline,LN,AS1,Activity,1,47.50000500266082,0.0,9.500020223299776,0.0,4.999989882775425
A1_chain_d3_N50,A1,baseline,LN,AS2,Activity,1,47.500004857835926,0.0,9.500020257351734,0.0,4.999989849608724
A1_chain_d3_N50,A1,baseline,LN,AS3,Activity,1,47.500004995727245,0.9999979704154855,9.500020280239497,9.500020280239461,4.9999898520774275
A1_chain_d3_N100,A1,baseline,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N100,A1,baseline,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d3_N100,A1,baseline,LN,P3,Processor,1,NaN,1.0000001561416547,NaN,NaN,NaN
A1_chain_d3_N100,A1,baseline,LN,T1,RefTask,1,97.49999948808494,0.0,NaN,0.0,5.00000080003285
A1_chain_d3_N100,A1,baseline,LN,T2,Task,1,97.4999993352115,0.0,NaN,0.0,5.00000078291041
A1_chain_d3_N100,A1,baseline,LN,T3,Task,1,97.49999947328389,1.0000001561416547,NaN,19.49999684989501,5.000000780708272
A1_chain_d3_N100,A1,baseline,LN,E1,Entry,1,97.49999948808494,NaN,19.49999677748939,NaN,5.00000080003285
A1_chain_d3_N100,A1,baseline,LN,E2,Entry,1,97.4999993352115,NaN,19.4999968136922,NaN,5.00000078291041
A1_chain_d3_N100,A1,baseline,LN,E3,Entry,1,97.49999947328389,NaN,19.49999684989501,NaN,5.000000780708272
A1_chain_d3_N100,A1,baseline,LN,AS1,Activity,1,97.49999954392467,0.0,19.499996788657324,0.0,5.000000800032852
A1_chain_d3_N100,A1,baseline,LN,AS2,Activity,1,97.49999939104198,0.0,19.499996824858282,0.0,5.000000782910413
A1_chain_d3_N100,A1,baseline,LN,AS3,Activity,1,97.49999947328408,1.0000001561416547,19.499996849895044,19.49999684989501,5.000000780708272
A1_chain_d5_N20,A1,baseline,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,baseline,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,baseline,LN,P3,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,baseline,LN,P4,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N20,A1,baseline,LN,P5,Processor,1,NaN,0.9999999995870154,NaN,NaN,NaN
A1_chain_d5_N20,A1,baseline,LN,T1,RefTask,1,17.49999968501972,0.0,NaN,0.0,5.00000009327198
A1_chain_d5_N20,A1,baseline,LN,T2,Task,1,17.499999619500155,0.0,NaN,0.0,5.000000074593261
A1_chain_d5_N20,A1,baseline,LN,T3,Task,1,17.499999524755577,0.0,NaN,0.0,5.000000047545326
A1_chain_d5_N20,A1,baseline,LN,T4,Task,1,17.499999413735054,0.0,NaN,0.0,5.000000015836509
A1_chain_d5_N20,A1,baseline,LN,T5,Task,1,17.499999351059362,0.9999999995870154,NaN,3.4999998716573186,4.9999999979350775
A1_chain_d5_N20,A1,baseline,LN,E1,Entry,1,17.49999968501972,NaN,3.4999998717135603,NaN,5.00000009327198
A1_chain_d5_N20,A1,baseline,LN,E2,Entry,1,17.499999619500155,NaN,3.49999987168475,NaN,5.000000074593261
A1_chain_d5_N20,A1,baseline,LN,E3,Entry,1,17.499999524755577,NaN,3.4999998716693885,NaN,5.000000047545326
A1_chain_d5_N20,A1,baseline,LN,E4,Entry,1,17.499999413735054,NaN,3.499999871661455,NaN,5.000000015836509
A1_chain_d5_N20,A1,baseline,LN,E5,Entry,1,17.499999351059362,NaN,3.499999871657318,NaN,4.9999999979350775
A1_chain_d5_N20,A1,baseline,LN,AS1,Activity,1,17.499999742793754,0.0,3.4999998832683654,0.0,5.000000093271982
A1_chain_d5_N20,A1,baseline,LN,AS2,Activity,1,17.499999679087317,0.0,3.49999988360218,0.0,5.000000074593264
A1_chain_d5_N20,A1,baseline,LN,AS3,Activity,1,17.499999574917176,0.0,3.4999998817017066,0.0,5.000000047545328
A1_chain_d5_N20,A1,baseline,LN,AS4,Activity,1,17.49999946150795,0.0,3.499999881216033,0.0,5.000000015836511
A1_chain_d5_N20,A1,baseline,LN,AS5,Activity,1,17.49999935123793,0.9999999995870154,3.499999871693032,3.4999998716573186,4.999999997935077
A1_chain_d5_N50,A1,baseline,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,baseline,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,baseline,LN,P3,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,baseline,LN,P4,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N50,A1,baseline,LN,P5,Processor,1,NaN,0.9999979704148649,NaN,NaN,NaN
A1_chain_d5_N50,A1,baseline,LN,T1,RefTask,1,47.5000047541264,0.0,NaN,0.0,4.9999899323190276
A1_chain_d5_N50,A1,baseline,LN,T2,Task,1,47.50000468049747,0.0,NaN,0.0,4.999989906660799
A1_chain_d5_N50,A1,baseline,LN,T3,Task,1,47.50000457514106,0.0,NaN,0.0,4.999989877655769
A1_chain_d5_N50,A1,baseline,LN,T4,Task,1,47.50000445211477,0.0,NaN,0.0,4.999989846786846
A1_chain_d5_N50,A1,baseline,LN,T5,Task,1,47.50000467259403,0.9999979704148649,NaN,9.500020215618616,4.999989852074326
A1_chain_d5_N50,A1,baseline,LN,E1,Entry,1,47.5000047541264,NaN,9.500020079459558,NaN,4.9999899323190276
A1_chain_d5_N50,A1,baseline,LN,E2,Entry,1,47.50000468049747,NaN,9.500020113484577,NaN,4.999989906660799
A1_chain_d5_N50,A1,baseline,LN,E3,Entry,1,47.50000457514106,NaN,9.50002014752304,NaN,4.999989877655769
A1_chain_d5_N50,A1,baseline,LN,E4,Entry,1,47.50000445211477,NaN,9.500020181568928,NaN,4.999989846786846
A1_chain_d5_N50,A1,baseline,LN,E5,Entry,1,47.50000467259403,NaN,9.500020215618616,NaN,4.999989852074326
A1_chain_d5_N50,A1,baseline,LN,AS1,Activity,1,47.5000048277192,0.0,9.500020094178147,0.0,4.999989932319028
A1_chain_d5_N50,A1,baseline,LN,AS2,Activity,1,47.50000474590424,0.0,9.500020126565955,0.0,4.999989906660801
A1_chain_d5_N50,A1,baseline,LN,AS3,Activity,1,47.50000463612274,0.0,9.500020159719398,0.0,4.99998987765577
A1_chain_d5_N50,A1,baseline,LN,AS4,Activity,1,47.50000451070803,0.0,9.5000201932876,0.0,4.999989846786848
A1_chain_d5_N50,A1,baseline,LN,AS5,Activity,1,47.500004672772555,0.9999979704148649,9.500020215654322,9.500020215618616,4.999989852074325
A1_chain_d5_N100,A1,baseline,LN,P1,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,baseline,LN,P2,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,baseline,LN,P3,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,baseline,LN,P4,Processor,1,NaN,0.0,NaN,NaN,NaN
A1_chain_d5_N100,A1,baseline,LN,P5,Processor,1,NaN,1.000000156141607,NaN,NaN,NaN
A1_chain_d5_N100,A1,baseline,LN,T1,RefTask,1,97.49999930724907,0.0,NaN,0.0,5.000000825884317
A1_chain_d5_N100,A1,baseline,LN,T2,Task,1,97.49999922743241,0.0,NaN,0.0,5.000000812515762
A1_chain_d5_N100,A1,baseline,LN,T3,Task,1,97.49999911505768,0.0,NaN,0.0,5.0000007974741125
A1_chain_d5_N100,A1,baseline,LN,T4,Task,1,97.49999898454993,0.0,NaN,0.0,5.000000781500664
A1_chain_d5_N100,A1,baseline,LN,T5,Task,1,97.49999915008713,1.000000156141607,NaN,19.49999678525659,5.000000780708035
