fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,3,10,8,18,0.000043,60,true,18|10|10|12|8
A1_chain_d5_N20,3,7,6,8,0.000001,100,true,7|7|6|7|8
A1_chain_d5_N50,3,12,12,12,0.000042,100,true,12|12|12|12|12
A1_chain_d5_N100,3,25,20,30,0.000003,100,true,30|25|26|21|20
A1_chain_d8_N50,3,8,8,9,0.000104,160,true,8|9|8|8|9
A2_multiclassA_2refs_loadLow_N20,2,8,8,10,0.002362,65,true,10|8|8|8|8
A2_multiclassA_2refs_loadHigh_N20,2,8,8,9,0.000827,65,true,9|8|8|8|8
A2_multiclassA_2refs_loadLow_N50,2,2,2,4,0.008834,65,true,4|2|2|2|2
A2_multiclassA_2refs_loadHigh_N50,2,2,2,2,0.002792,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,10,9,26,0.027154,65,true,26|10|9|9|10
A2_multiclassB_2refs_demands_5to1_N20,2,9,9,10,0.035557,65,true,10|9|9|9|10
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,2,0.009364,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_5to1_N50,2,1,1,2,0.009912,65,true,2|1|1|1|1
A2_multiclassC_2refs_think_2to1_N20,2,7,7,7,0.016402,65,true,7|7|7|7|7
A2_multiclassC_2refs_think_4to1_N20,2,7,7,7,0.052370,65,true,7|7|7|7|7
A2_multiclassC_2refs_think_2to1_N50,2,1,1,2,0.008722,65,true,1|1|2|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.017487,65,true,1|1|1|1|1
A3_multiserver_c2_loadLow,3,1,0,1,0.000000,40,true,1|1|0|1|1
A3_multiserver_c2_loadMedium,3,1,0,1,0.000000,40,true,1|1|1|1|0
A3_multiserver_c2_loadHigh,3,0,0,1,0.000000,40,true,0|1|1|0|0
A3_multiserver_c4_loadLow,3,1,0,1,0.000000,40,true,1|0|0|1|1
A3_multiserver_c4_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,3,1,0,1,0.000000,40,true,1|1|1|0|1
A3_multiserver_c8_loadLow,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,3,1,1,2,0.000000,40,true,1|1|2|1|1
A4_threeTier_multiclass,5,2,2,2,0.028191,85,true,2|2|2|2|2
A4_multiclass_multiserver,2,1,1,1,0.117630,65,true,1|1|1|1|1
A4_multiclass_multientry,2,1,1,1,0.059337,90,true,1|1|1|1|1
A4_chainPlusFanout,6,3,3,5,0.892897,105,true,3|3|5|3|3
A4_webApplication,4,1,1,2,0.000000,85,true,1|2|1|1|1
A4_databaseBackend,4,2,1,2,0.000000,80,true,2|2|2|1|1
A4_threeTier_sequence,4,1,1,1,0.000000,0,true,1|1|1|1|1
A4_parallelService_andFork,2,1,0,1,0.000000,0,true,1|1|1|0|0
A4_retryLoop,4,1,1,1,0.000000,0,true,1|1|1|1|1
A4_replyThenLog,3,1,0,1,0.000000,0,true,0|1|1|0|1
A5_orForkUneven,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
