fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,6,15,13,15,0.005377,60,true,14|15|15|13|15
A1_chain_d5_N20,6,11,11,13,0.002220,100,true,13|12|11|11|11
A1_chain_d5_N50,6,24,22,26,0.005376,100,true,26|26|24|24|22
A1_chain_d5_N100,7,24,24,25,0.001898,100,true,24|25|24|24|24
A1_chain_d8_N50,6,15,14,15,0.005391,160,true,15|15|15|14|14
A2_multiclassA_2refs_loadLow_N20,2,8,8,8,0.002362,65,true,8|8|8|8|8
A2_multiclassA_2refs_loadHigh_N20,2,8,8,8,0.000827,65,true,8|8|8|8|8
A2_multiclassA_2refs_loadLow_N50,2,2,2,2,0.008834,65,true,2|2|2|2|2
A2_multiclassA_2refs_loadHigh_N50,2,2,2,2,0.002792,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,10,9,10,0.027154,65,true,9|10|9|10|10
A2_multiclassB_2refs_demands_5to1_N20,2,10,9,10,0.035557,65,true,10|9|10|9|10
A2_multiclassB_2refs_demands_3to1_N50,2,2,1,2,0.009364,65,true,2|2|2|1|1
A2_multiclassB_2refs_demands_5to1_N50,2,1,1,2,0.009912,65,true,1|2|1|1|1
A2_multiclassC_2refs_think_2to1_N20,2,9,9,10,0.014538,65,true,10|9|9|9|10
A2_multiclassC_2refs_think_4to1_N20,2,9,9,10,0.040825,65,true,9|9|9|9|10
A2_multiclassC_2refs_think_2to1_N50,2,1,1,2,0.008283,65,true,1|1|2|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.016165,65,true,1|1|1|1|1
A3_multiserver_c2_loadLow,4,1,1,1,0.551108,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,5,1,1,1,0.098794,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,5,1,1,1,0.059048,40,true,1|1|1|1|1
A3_multiserver_c4_loadLow,5,1,1,1,0.056692,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,5,1,1,1,0.048826,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,6,1,1,1,0.009237,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,5,1,1,1,0.032010,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,6,1,1,1,0.013779,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,6,1,1,1,0.011605,40,true,1|1|1|1|1
A4_threeTier_multiclass,8,9,4,10,0.006763,85,true,9|9|4|10|4
A4_multiclass_multiserver,2,1,1,1,0.111505,65,true,1|1|1|1|1
A4_multiclass_multientry,2,2,1,2,0.057472,90,true,2|2|1|1|2
A4_chainPlusFanout,13,8,7,9,0.892897,105,true,9|9|8|7|8
A4_webApplication,4,2,2,2,0.000000,85,true,2|2|2|2|2
A4_databaseBackend,7,4,3,5,0.062747,80,true,4|4|5|3|3
A4_threeTier_sequence,4,2,2,2,0.000000,0,true,2|2|2|2|2
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,8,2,2,2,0.000000,0,true,2|2|2|2|2
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,6,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,6,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_combinedDag,2,1,1,2,0.000000,0,true,2|1|2|1|1
A5_multiclassAndFork,2,1,1,2,0.000000,0,true,1|1|1|2|1
B_scaleAxis_tasks5_chain,6,4,3,4,0.002540,100,true,3|3|4|4|4
B_scaleAxis_tasks10_chain,6,10,9,10,0.005575,200,true,10|10|10|10|9
B_scaleAxis_tasks20_chain,6,32,23,35,0.091740,400,true,35|23|30|32|35
B_scaleAxis_tasks40_chain,6,160,143,178,0.046103,800,true,151|143|178|160|172
