fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,6,12,12,17,0.005377,60,true,17|15|12|12|12
A1_chain_d5_N20,6,8,8,9,0.002220,100,true,9|8|8|8|8
A1_chain_d5_N50,6,19,18,19,0.005376,100,true,19|18|19|19|19
A1_chain_d5_N100,7,40,38,41,0.001898,100,true,38|41|41|40|38
A1_chain_d8_N50,6,12,11,26,0.005391,160,true,26|12|12|12|11
A2_multiclassA_2refs_loadLow_N20,2,8,8,11,0.002362,65,true,11|8|8|8|8
A2_multiclassA_2refs_loadHigh_N20,2,8,8,8,0.000827,65,true,8|8|8|8|8
A2_multiclassA_2refs_loadLow_N50,2,2,2,2,0.008834,65,true,2|2|2|2|2
A2_multiclassA_2refs_loadHigh_N50,2,2,2,2,0.002792,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,8,7,8,0.027154,65,true,8|7|8|7|8
A2_multiclassB_2refs_demands_5to1_N20,2,8,7,9,0.035557,65,true,9|7|8|7|8
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,2,0.009364,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_5to1_N50,2,1,1,1,0.009912,65,true,1|1|1|1|1
A2_multiclassC_2refs_think_2to1_N20,2,7,6,7,0.016402,65,true,7|7|7|6|7
A2_multiclassC_2refs_think_4to1_N20,2,7,6,8,0.052370,65,true,7|6|7|7|8
A2_multiclassC_2refs_think_2to1_N50,2,1,1,3,0.008722,65,true,1|1|3|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.017487,65,true,1|1|1|1|1
A3_multiserver_c2_loadLow,4,1,1,1,0.551108,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,5,1,1,1,0.098794,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,5,1,0,1,0.059048,40,true,0|1|1|1|1
A3_multiserver_c4_loadLow,5,1,1,1,0.056692,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,5,1,1,1,0.048826,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,6,1,1,1,0.009237,40,true,1|1|1|1|1
