fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,6,20,14,24,0.005377,60,true,24|16|14|20|22
A1_chain_d5_N20,6,16,15,18,0.002220,100,true,17|18|15|16|15
A1_chain_d5_N50,6,18,12,20,0.005376,100,true,17|18|18|20|12
A1_chain_d5_N100,7,25,24,39,0.001898,100,true,27|24|39|25|24
A1_chain_d8_N50,6,13,13,14,0.005391,160,true,13|13|13|14|14
A2_multiclassA_2refs_loadLow_N20,2,15,9,15,0.002362,65,true,15|14|15|15|9
A2_multiclassA_2refs_loadHigh_N20,2,13,8,14,0.000827,65,true,14|13|13|13|8
A2_multiclassA_2refs_loadLow_N50,2,3,3,3,0.008834,65,true,3|3|3|3|3
A2_multiclassA_2refs_loadHigh_N50,2,3,2,3,0.002792,65,true,2|3|3|3|3
A2_multiclassB_2refs_demands_3to1_N20,2,16,15,18,0.027154,65,true,15|18|16|17|16
A2_multiclassB_2refs_demands_5to1_N20,2,15,14,16,0.035557,65,true,14|16|15|15|15
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,3,0.009364,65,true,3|3|2|2|2
A2_multiclassB_2refs_demands_5to1_N50,2,2,1,2,0.009912,65,true,2|2|1|2|2
A2_multiclassC_2refs_think_2to1_N20,2,4,4,4,0.014538,65,true,4|4|4|4|4
A2_multiclassC_2refs_think_4to1_N20,2,7,7,8,0.040825,65,true,8|7|7|7|7
A2_multiclassC_2refs_think_2to1_N50,2,2,2,4,0.008283,65,true,2|3|4|2|2
A2_multiclassC_2refs_think_4to1_N50,2,1,1,2,0.016165,65,true,2|1|1|1|1
A3_multiserver_c2_loadLow,4,0,0,0,0.551108,40,true,0|0|0|0|0
A3_multiserver_c2_loadMedium,5,1,1,1,0.098794,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,5,1,0,1,0.059048,40,true,1|1|1|0|1
A3_multiserver_c4_loadLow,5,1,0,1,0.056692,40,true,0|1|1|1|1
A3_multiserver_c4_loadMedium,5,1,1,1,0.048826,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,6,1,1,1,0.009237,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,5,1,1,1,0.032010,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,6,1,1,1,0.013779,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,6,1,1,1,0.011605,40,true,1|1|1|1|1
A4_threeTier_multiclass,8,4,3,4,0.006763,85,true,4|4|3|4|3
A4_multiclass_multiserver,2,1,1,1,0.111505,65,true,1|1|1|1|1
A4_multiclass_multientry,2,1,1,2,0.057472,90,true,1|2|1|1|1
A4_chainPlusFanout,13,7,6,8,0.892897,105,true,8|7|7|6|6
A4_webApplication,4,2,1,2,0.000000,85,true,2|2|2|2|1
A4_databaseBackend,7,3,2,3,0.062747,80,true,3|3|3|3|2
A4_threeTier_sequence,4,1,1,22,0.000000,0,true,22|2|1|1|1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,8,3,2,3,0.000000,0,true,2|3|3|3|3
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,6,1,1,2,0.000000,0,true,1|1|1|1|2
A5_orForkThreeWay,6,2,1,2,0.000000,0,true,2|2|2|1|1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_combinedDag,2,1,1,2,0.000000,0,true,2|1|1|1|1
A5_multiclassAndFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
B_scaleAxis_tasks5_chain,6,3,3,4,0.002540,100,true,4|3|3|3|3
B_scaleAxis_tasks10_chain,6,8,8,17,0.005575,200,true,8|8|8|8|17
B_scaleAxis_tasks20_chain,6,22,21,25,0.091740,400,true,21|21|22|25|22
B_scaleAxis_tasks40_chain,6,73,64,80,0.046103,800,true,80|76|64|67|73
B_scaleAxis_tasks60_chain,6,139,129,229,0.064997,1200,true,129|229|133|139|150
B_scaleAxis_tasks5_fanout,11,7,5,9,2.403235,100,false,5|5|7|9|9
B_scaleAxis_tasks10_fanout,12,14,14,15,2.413118,200,false,15|15|14|14|14
B_scaleAxis_tasks20_fanout,11,38,30,41,1.097637,400,false,40|30|38|41|37
B_scaleAxis_tasks40_fanout,10,128,116,200,0.000000,0,true,200|124|116|128|146
B_scaleAxis_tasks60_fanout,10,323,226,385,0.000000,0,true,385|316|323|334|226
C1_fanOut2_caller_c1,10,1,1,1,0.387840,60,true,1|1|1|1|1
C1_fanOut2_caller_c2,10,1,1,1,0.387840,60,true,1|1|1|1|1
C1_fanOut3_caller_c1,10,2,1,2,0.344606,80,true,2|1|2|2|2
C1_fanOut3_caller_c2,10,2,2,2,0.344606,80,true,2|2|2|2|2
C1_fanOut4_caller_c1,11,3,2,4,0.307030,100,true,4|3|3|3|2
C1_fanOut4_caller_c2,11,2,2,3,0.307030,100,true,3|3|2|2|2
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0|0|0|0|0
C2_infTaskShared,2,0,0,0,0.000000,65,true,0|0|0|0|0
C2_infTaskDeep,3,1,1,1,0.000001,80,true,1|1|1|1|1
C3_multiclassMultiEntry_2refs,2,0,0,0,0.035019,65,true,0|0|0|0|0
C3_multiclassMultiEntry_3refs,2,0,0,0,0.298966,90,true,0|0|0|0|0
C3_multiclassMultiEntry_asymmetric,2,1,1,2,0.062914,65,true,1|1|1|1|2
C4_nearSaturation,3,0,0,0,0.463438,40,true,0|0|0|0|0
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0|0|0|0|0
C4_lowDemand,3,0,0,0,0.000002,40,true,0|0|0|0|0
C5_satFanout_tasks5,25,7,7,8,0.000000,0,true,7|7|8|7|7
C5_satFanout_tasks10,13,10,9,12,0.000000,0,true,12|9|10|10|12
C5_satFanout_tasks20,11,23,23,26,0.000000,0,true,26|23|25|23|23
C5_satFanoutCaller_w2,23,5,5,5,0.000000,0,true,5|5|5|5|5
C5_satFanoutCaller_w3,25,9,7,11,0.000000,0,true,8|9|11|9|7
C5_satFanoutCaller_w4,21,8,8,10,0.000000,0,true,8|8|10|8|8
C6_andForkPsHost,3,0,0,0,0.000000,0,true,0|0|0|0|0
C7_deepChainMultiCall,5,4,4,5,0.000000,0,true,5|5|4|4|4
C7_deepChainAllExp,6,5,4,6,0.000000,0,true,6|4|5|5|5
