fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,6,26,22,43,0.005377,60,true,43|35|26|22|22
A1_chain_d5_N20,6,22,22,33,0.002220,100,true,29|33|22|22|22
A1_chain_d5_N50,6,19,18,33,0.005376,100,true,33|18|21|18|19
A1_chain_d5_N100,7,29,25,42,0.001898,100,true,42|29|27|31|25
A1_chain_d8_N50,6,13,13,14,0.005391,160,true,14|13|13|13|13
A2_multiclassA_2refs_loadLow_N20,2,58,44,59,0.002362,65,true,44|57|58|58|59
A2_multiclassA_2refs_loadHigh_N20,2,4,4,16,0.000827,65,true,16|4|5|4|4
A2_multiclassA_2refs_loadLow_N50,2,2,2,3,0.008834,65,true,3|2|3|2|2
A2_multiclassA_2refs_loadHigh_N50,2,2,2,3,0.002792,65,true,2|2|3|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,4,4,5,0.027154,65,true,4|5|4|4|5
A2_multiclassB_2refs_demands_5to1_N20,2,4,4,5,0.035557,65,true,5|4|4|5|4
A2_multiclassB_2refs_demands_3to1_N50,2,2,1,2,0.009364,65,true,2|2|2|1|2
A2_multiclassB_2refs_demands_5to1_N50,2,2,1,4,0.009912,65,true,2|4|1|1|2
A2_multiclassC_2refs_think_2to1_N20,2,6,4,8,0.014538,65,true,7|6|8|5|4
A2_multiclassC_2refs_think_4to1_N20,2,5,4,7,0.040825,65,true,7|6|4|5|5
A2_multiclassC_2refs_think_2to1_N50,2,1,1,3,0.008283,65,true,1|1|3|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,3,0.016165,65,true,3|1|1|2|1
A3_multiserver_c2_loadLow,4,1,1,1,0.551108,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,5,1,1,1,0.098794,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,5,1,1,1,0.059048,40,true,1|1|1|1|1
A3_multiserver_c4_loadLow,5,1,1,1,0.056692,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,5,1,1,1,0.048826,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,6,1,1,1,0.009237,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,5,1,1,1,0.032010,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,6,1,1,1,0.013779,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,6,1,1,1,0.011605,40,true,1|1|1|1|1
A4_threeTier_multiclass,8,3,3,5,0.006763,85,true,3|3|3|3|5
A4_multiclass_multiserver,2,2,2,2,0.111505,65,true,2|2|2|2|2
A4_multiclass_multientry,2,2,2,2,0.057472,90,true,2|2|2|2|2
A4_chainPlusFanout,13,8,6,11,0.892897,105,true,7|11|6|9|8
A4_webApplication,4,2,1,3,0.000000,85,true,3|2|2|1|2
A4_databaseBackend,7,3,2,5,0.062747,80,true,4|3|5|2|2
A4_threeTier_sequence,4,1,1,1,0.000000,0,true,1|1|1|1|1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,8,2,2,2,0.000000,0,true,2|2|2|2|2
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,6,2,1,2,0.000000,0,true,2|2|2|2|1
A5_orForkThreeWay,6,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,2,1,0,1,0.000000,0,true,1|1|1|1|0
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,3,0,0,1,0.000000,0,true,0|1|0|0|0
A5_combinedDag,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_multiclassAndFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
B_scaleAxis_tasks5_chain,6,4,3,4,0.002540,100,true,4|3|4|4|4
B_scaleAxis_tasks10_chain,6,8,7,9,0.005575,200,true,8|8|9|8|7
B_scaleAxis_tasks20_chain,6,21,21,23,0.091740,400,true,23|21|21|21|22
B_scaleAxis_tasks40_chain,6,59,51,85,0.046103,800,true,67|85|51|59|57
B_scaleAxis_tasks60_chain,6,148,123,209,0.064997,1200,true,145|209|123|151|148
B_scaleAxis_tasks5_fanout,11,7,5,9,2.403235,100,false,5|5|7|8|9
B_scaleAxis_tasks10_fanout,12,11,11,14,2.413118,200,false,14|12|11|11|11
B_scaleAxis_tasks20_fanout,11,36,32,40,1.097637,400,false,36|40|32|36|39
B_scaleAxis_tasks40_fanout,10,144,124,152,0.000000,0,true,132|144|152|144|124
B_scaleAxis_tasks60_fanout,10,324,229,373,0.000000,0,true,373|300|229|324|330
C1_fanOut2_caller_c1,10,1,1,2,0.387840,60,true,2|2|1|1|1
C1_fanOut2_caller_c2,10,1,1,2,0.387840,60,true,1|1|1|2|2
C1_fanOut3_caller_c1,10,2,2,3,0.344606,80,true,2|2|2|3|2
C1_fanOut3_caller_c2,10,3,3,3,0.344606,80,true,3|3|3|3|3
C1_fanOut4_caller_c1,11,4,4,4,0.307030,100,true,4|4|4|4|4
C1_fanOut4_caller_c2,11,3,3,3,0.307030,100,true,3|3|3|3|3
C2_infTaskSimple,2,0,0,1,0.000000,40,true,0|0|0|1|1
C2_infTaskShared,2,0,0,1,0.000000,65,true,1|0|0|0|0
C2_infTaskDeep,3,1,1,1,0.000001,80,true,1|1|1|1|1
C3_multiclassMultiEntry_2refs,2,1,1,1,0.035019,65,true,1|1|1|1|1
C3_multiclassMultiEntry_3refs,2,1,1,2,0.298966,90,true,2|1|2|1|1
C3_multiclassMultiEntry_asymmetric,2,2,2,2,0.062914,65,true,2|2|2|2|2
C4_nearSaturation,3,1,1,1,0.463438,40,true,1|1|1|1|1
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0|0|0|0|0
C4_lowDemand,3,0,0,0,0.000002,40,true,0|0|0|0|0
C5_satFanout_tasks5,25,12,11,15,0.000000,0,true,15|12|14|12|11
C5_satFanout_tasks10,13,15,14,16,0.000000,0,true,15|15|16|14|16
C5_satFanout_tasks20,11,30,29,37,0.000000,0,true,30|37|32|30|29
C5_satFanoutCaller_w2,23,7,6,7,0.000000,0,true,7|6|6|7|7
C5_satFanoutCaller_w3,25,12,11,13,0.000000,0,true,11|12|12|12|13
C5_satFanoutCaller_w4,21,13,13,23,0.000000,0,true,13|13|13|23|22
C6_andForkPsHost,3,0,0,1,0.000000,0,true,0|1|0|0|0
C7_deepChainMultiCall,5,8,5,8,0.000000,0,true,8|8|8|5|6
C7_deepChainAllExp,6,7,6,7,0.000000,0,true,7|7|6|7|6
