fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,7,15,13,18,0.002145,60,true,18|16|13|13|15
A1_chain_d5_N20,6,8,7,8,0.006103,100,true,8|7|8|8|7
A1_chain_d5_N50,7,23,20,24,0.002145,100,true,20|20|24|23|23
A1_chain_d5_N100,7,40,40,41,0.002273,100,true,40|40|41|40|40
A1_chain_d8_N50,7,39,14,49,0.002160,160,true,38|39|47|49|14
A2_multiclassA_2refs_loadLow_N20,2,12,10,25,0.002362,65,true,13|12|10|25|11
A2_multiclassA_2refs_loadHigh_N20,2,8,8,8,0.000827,65,true,8|8|8|8|8
A2_multiclassA_2refs_loadLow_N50,2,2,2,2,0.008834,65,true,2|2|2|2|2
A2_multiclassA_2refs_loadHigh_N50,2,2,2,3,0.002792,65,true,2|2|3|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,10,10,11,0.027154,65,true,11|10|11|10|10
A2_multiclassB_2refs_demands_5to1_N20,2,11,10,11,0.035557,65,true,10|11|11|10|11
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,3,0.009364,65,true,2|3|3|2|2
A2_multiclassB_2refs_demands_5to1_N50,2,2,2,2,0.009912,65,true,2|2|2|2|2
A2_multiclassC_2refs_think_2to1_N20,2,10,9,11,0.014538,65,true,10|10|11|10|9
A2_multiclassC_2refs_think_4to1_N20,2,7,7,12,0.040825,65,true,10|7|7|7|12
A2_multiclassC_2refs_think_2to1_N50,2,1,1,2,0.008283,65,true,1|1|2|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.016165,65,true,1|1|1|1|1
A3_multiserver_c2_loadLow,4,1,0,1,0.551108,40,true,1|1|0|1|0
A3_multiserver_c2_loadMedium,5,1,0,1,0.098794,40,true,1|1|1|0|0
A3_multiserver_c2_loadHigh,5,1,1,1,0.059048,40,true,1|1|1|1|1
A3_multiserver_c4_loadLow,5,1,0,1,0.056692,40,true,0|1|1|1|1
A3_multiserver_c4_loadMedium,5,1,1,1,0.048826,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,6,1,1,1,0.009237,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,5,1,1,1,0.032010,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,6,1,1,1,0.013779,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,6,1,1,1,0.011605,40,true,1|1|1|1|1
A4_threeTier_multiclass,7,3,3,5,0.007120,85,true,3|3|5|3|3
A4_multiclass_multiserver,2,1,1,2,0.111505,65,true,2|1|1|1|1
A4_multiclass_multientry,2,1,1,1,0.057472,90,true,1|1|1|1|1
A4_chainPlusFanout,11,5,5,7,0.892897,105,true,6|7|5|5|5
A4_webApplication,2,1,1,2,0.358173,85,true,1|2|1|1|2
A4_databaseBackend,6,2,2,3,0.035562,80,true,2|2|3|2|2
A4_threeTier_sequence,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_parallelService_andFork,2,1,0,1,0.000000,0,true,1|0|1|1|1
A4_retryLoop,6,1,1,1,0.000000,0,true,1|1|1|1|1
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,6,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,6,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,0,0,0,0.000000,0,true,0|0|0|0|0
A5_andForkMultiAct,2,0,0,1,0.000000,0,true,1|0|0|0|0
A5_seqMultiEntry,4,1,0,1,0.000000,0,true,0|1|1|1|1
A5_replyAtBound,3,0,0,1,0.000000,0,true,0|0|0|1|0
A5_combinedDag,2,0,0,1,0.000000,0,true,1|1|0|0|0
A5_multiclassAndFork,2,1,0,1,0.000000,0,true,1|1|1|0|1
B_scaleAxis_tasks5_chain,7,4,3,4,0.002275,100,true,4|4|3|4|3
B_scaleAxis_tasks10_chain,7,8,7,9,0.005332,200,true,7|8|7|9|8
B_scaleAxis_tasks20_chain,7,18,16,21,0.091496,400,true,21|18|19|18|16
B_scaleAxis_tasks40_chain,7,52,41,73,0.045859,800,true,47|73|41|52|67
B_scaleAxis_tasks60_chain,7,100,95,140,0.064753,1200,true,95|131|98|140|100
B_scaleAxis_tasks5_fanout,11,4,3,4,2.401563,100,false,3|4|4|4|3
B_scaleAxis_tasks10_fanout,12,10,8,19,2.410837,200,false,19|10|8|9|11
