fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,3,14,8,22,0.000043,60,true,22|15|14|9|8
A1_chain_d5_N20,3,9,6,15,0.000001,100,true,9|10|6|7|15
A1_chain_d5_N50,3,16,14,22,0.000042,100,true,15|14|22|16|21
A1_chain_d5_N100,3,28,24,33,0.000003,100,true,33|28|33|24|24
A1_chain_d8_N50,3,9,8,9,0.000104,160,true,9|9|8|9|8
A2_multiclassA_2refs_loadLow_N20,2,8,8,10,0.002362,65,true,8|8|8|9|10
A2_multiclassA_2refs_loadHigh_N20,2,8,8,13,0.000827,65,true,8|8|13|8|8
A2_multiclassA_2refs_loadLow_N50,2,2,2,2,0.008834,65,true,2|2|2|2|2
A2_multiclassA_2refs_loadHigh_N50,2,2,2,2,0.002792,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,7,7,7,0.027154,65,true,7|7|7|7|7
A2_multiclassB_2refs_demands_5to1_N20,2,8,7,10,0.035557,65,true,8|8|10|7|8
A2_multiclassB_2refs_demands_3to1_N50,2,2,1,2,0.009364,65,true,2|2|2|1|1
A2_multiclassB_2refs_demands_5to1_N50,2,1,1,2,0.009912,65,true,1|1|1|1|2
A2_multiclassC_2refs_think_2to1_N20,2,6,6,7,0.014538,65,true,6|6|7|6|6
A2_multiclassC_2refs_think_4to1_N20,2,6,6,7,0.040825,65,true,6|7|6|6|7
A2_multiclassC_2refs_think_2to1_N50,2,1,1,2,0.008283,65,true,1|1|2|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.016165,65,true,1|1|1|1|1
A3_multiserver_c2_loadLow,3,0,0,1,0.000000,40,true,1|1|0|0|0
A3_multiserver_c2_loadMedium,3,1,0,1,0.000000,40,true,1|1|1|1|0
A3_multiserver_c2_loadHigh,3,0,0,2,0.000000,40,true,0|2|1|0|0
A3_multiserver_c4_loadLow,3,0,0,1,0.000000,40,true,1|0|0|0|0
A3_multiserver_c4_loadMedium,3,1,0,1,0.000000,40,true,1|0|1|1|1
A3_multiserver_c4_loadHigh,3,1,0,1,0.000000,40,true,1|0|1|1|1
A3_multiserver_c8_loadLow,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,3,0,0,1,0.000000,40,true,1|0|1|0|0
A4_threeTier_multiclass,5,2,2,2,0.015522,85,true,2|2|2|2|2
A4_multiclass_multiserver,2,1,1,1,0.111505,65,true,1|1|1|1|1
A4_multiclass_multientry,2,1,1,2,0.057472,90,true,2|1|1|1|1
A4_chainPlusFanout,9,5,4,6,0.892897,105,true,5|6|5|5|4
A4_webApplication,2,1,1,1,0.358173,85,true,1|1|1|1|1
A4_databaseBackend,3,2,1,3,0.000000,80,true,1|3|3|1|2
A4_threeTier_sequence,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_parallelService_andFork,2,1,0,1,0.000000,0,true,1|1|1|1|0
A4_retryLoop,3,1,1,1,0.000000,0,true,1|1|1|1|1
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,1,0,1,0.000000,0,true,1|1|1|0|1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,3,1,0,1,0.000000,0,true,0|0|1|1|1
A5_combinedDag,2,1,0,1,0.000000,0,true,1|0|1|1|0
A5_multiclassAndFork,2,1,0,2,0.000000,0,true,2|1|1|0|0
B_scaleAxis_tasks5_chain,3,2,2,2,0.000418,100,true,2|2|2|2|2
B_scaleAxis_tasks10_chain,3,5,5,5,0.003630,200,true,5|5|5|5|5
B_scaleAxis_tasks20_chain,3,14,9,15,0.089786,400,true,9|15|15|14|12
B_scaleAxis_tasks40_chain,3,52,42,58,0.044153,800,true,42|54|58|50|52
B_scaleAxis_tasks60_chain,3,126,111,140,0.063045,1200,true,140|126|111|121|126
B_scaleAxis_tasks5_fanout,12,5,4,6,2.405460,100,false,5|5|5|6|4
B_scaleAxis_tasks10_fanout,12,11,11,15,2.409677,200,false,11|11|11|14|15
B_scaleAxis_tasks20_fanout,12,27,24,38,1.101481,400,false,34|25|24|38|27
B_scaleAxis_tasks40_fanout,11,115,104,119,0.000000,0,true,117|104|106|119|115
B_scaleAxis_tasks60_fanout,10,316,267,330,0.000000,0,true,316|301|320|267|330
C1_fanOut2_caller_c1,11,2,2,2,0.388987,60,true,2|2|2|2|2
C1_fanOut2_caller_c2,11,2,1,2,0.388987,60,true,2|2|1|1|2
C1_fanOut3_caller_c1,11,3,2,3,0.345409,80,true,2|3|3|2|3
C1_fanOut3_caller_c2,11,2,2,2,0.345409,80,true,2|2|2|2|2
