fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,3,10,9,11,0.000043,60,true,9|11|9|10|10
A1_chain_d5_N20,3,6,6,7,0.000001,100,true,6|6|6|6|7
A1_chain_d5_N50,3,13,12,18,0.000042,100,true,13|18|14|13|12
A1_chain_d5_N100,3,32,24,36,0.000003,100,true,24|32|36|32|26
A1_chain_d8_N50,3,16,16,17,0.000104,160,true,17|16|16|17|16
A2_multiclassA_2refs_loadLow_N20,2,8,8,8,0.002362,65,true,8|8|8|8|8
A2_multiclassA_2refs_loadHigh_N20,2,8,8,9,0.000827,65,true,9|8|8|8|8
A2_multiclassA_2refs_loadLow_N50,2,2,2,2,0.008834,65,true,2|2|2|2|2
A2_multiclassA_2refs_loadHigh_N50,2,2,2,2,0.002792,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,8,8,24,0.027154,65,true,24|8|8|8|8
A2_multiclassB_2refs_demands_5to1_N20,2,7,7,9,0.035557,65,true,9|7|7|7|7
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,2,0.009364,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_5to1_N50,2,1,1,1,0.009912,65,true,1|1|1|1|1
A2_multiclassC_2refs_think_2to1_N20,2,7,6,7,0.014538,65,true,7|6|7|7|6
A2_multiclassC_2refs_think_4to1_N20,2,6,6,6,0.040825,65,true,6|6|6|6|6
A2_multiclassC_2refs_think_2to1_N50,2,2,1,2,0.008283,65,true,2|2|2|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,2,0.016165,65,true,2|1|1|1|1
A3_multiserver_c2_loadLow,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,3,0,0,1,0.000000,40,true,0|1|1|0|0
A3_multiserver_c4_loadLow,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,3,1,0,1,0.000000,40,true,1|1|0|1|1
A3_multiserver_c8_loadLow,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,3,1,1,1,0.000000,40,true,1|1|1|1|1
A4_threeTier_multiclass,5,2,2,3,0.015522,85,true,2|2|2|2|3
A4_multiclass_multiserver,2,1,1,1,0.111505,65,true,1|1|1|1|1
A4_multiclass_multientry,2,1,1,2,0.057472,90,true,1|1|2|1|1
A4_chainPlusFanout,6,4,4,5,0.892897,105,true,5|5|4|4|4
A4_webApplication,2,1,1,1,0.358173,85,true,1|1|1|1|1
A4_databaseBackend,3,2,1,5,0.000000,80,true,2|5|2|1|1
A4_threeTier_sequence,2,1,0,1,0.000000,0,true,1|0|1|1|1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,3,1,1,2,0.000000,0,true,1|2|1|1|1
A4_replyThenLog,3,1,0,1,0.000000,0,true,0|0|1|1|1
A5_orForkUneven,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,2,0,0,1,0.000000,0,true,0|0|0|1|1
A5_seqMultiEntry,3,1,0,1,0.000000,0,true,1|1|1|1|0
A5_replyAtBound,3,0,0,1,0.000000,0,true,1|0|0|0|1
A5_combinedDag,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_multiclassAndFork,2,1,0,1,0.000000,0,true,1|1|1|1|0
B_scaleAxis_tasks5_chain,3,2,2,2,0.000418,100,true,2|2|2|2|2
B_scaleAxis_tasks10_chain,3,5,4,6,0.003630,200,true,4|4|5|5|6
B_scaleAxis_tasks20_chain,3,12,10,14,0.089786,400,true,12|10|10|14|14
B_scaleAxis_tasks40_chain,3,45,43,60,0.044153,800,true,45|51|60|43|44
