fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,5,15,13,20,0.000343,60,true,14|15|18|13|20
A1_chain_d5_N20,5,13,10,16,0.001714,100,true,16|13|14|13|10
A1_chain_d5_N50,5,19,18,27,0.000343,100,true,19|18|27|19|20
A1_chain_d5_N100,3,21,14,33,0.001693,100,true,21|33|15|21|14
A1_chain_d8_N50,5,12,12,17,0.000343,160,true,12|12|12|12|17
A2_multiclassA_2refs_loadLow_N20,2,9,8,14,0.002362,65,true,9|9|12|14|8
A2_multiclassA_2refs_loadHigh_N20,2,13,13,15,0.000827,65,true,13|13|15|14|13
A2_multiclassA_2refs_loadLow_N50,2,4,3,4,0.008834,65,true,3|4|3|4|4
A2_multiclassA_2refs_loadHigh_N50,2,3,2,3,0.002792,65,true,3|2|2|3|3
A2_multiclassB_2refs_demands_3to1_N20,2,16,15,19,0.027154,65,true,16|15|19|18|16
A2_multiclassB_2refs_demands_5to1_N20,2,15,11,16,0.035557,65,true,15|16|15|16|11
A2_multiclassB_2refs_demands_3to1_N50,2,2,1,3,0.009364,65,true,2|3|2|3|1
A2_multiclassB_2refs_demands_5to1_N50,2,2,1,2,0.009912,65,true,2|2|1|2|1
A2_multiclassC_2refs_think_2to1_N20,2,13,8,15,0.016402,65,true,13|13|8|14|15
A2_multiclassC_2refs_think_4to1_N20,2,10,8,13,0.052370,65,true,8|12|8|10|13
A2_multiclassC_2refs_think_2to1_N50,2,1,1,2,0.008722,65,true,1|1|2|1|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,2,0.017487,65,true,2|2|1|1|1
A3_multiserver_c2_loadLow,4,1,1,1,0.036386,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,4,1,1,1,0.027184,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,4,1,1,1,0.017801,40,true,1|1|1|1|1
A3_multiserver_c4_loadLow,4,1,1,1,0.014844,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,4,1,1,1,0.013128,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,4,1,1,1,0.010535,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,4,1,1,2,0.015003,40,true,1|1|1|1|2
A3_multiserver_c8_loadMedium,5,1,1,2,0.001305,40,true,2|1|1|1|1
A3_multiserver_c8_loadHigh,5,1,1,2,0.001134,40,true,1|1|2|1|1
A4_threeTier_multiclass,6,7,6,9,0.014544,85,true,6|7|7|6|9
A4_multiclass_multiserver,2,2,1,2,0.117630,65,true,2|2|2|2|1
A4_multiclass_multientry,2,2,1,2,0.059337,90,true,1|2|2|2|1
A4_chainPlusFanout,7,5,4,8,0.892896,105,true,7|8|5|4|4
A4_webApplication,4,2,2,3,0.000000,85,true,3|2|2|2|2
A4_databaseBackend,6,3,2,3,0.004693,80,true,2|3|3|3|3
A4_threeTier_sequence,4,1,1,1,0.000000,0,true,1|1|1|1|1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,6,1,1,3,0.000000,0,true,3|1|1|1|1
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,5,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,5,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_combinedDag,2,1,1,2,0.000000,0,true,1|1|1|1|2
A5_multiclassAndFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
B_scaleAxis_tasks5_chain,5,3,3,4,0.000622,100,true,3|3|3|4|3
B_scaleAxis_tasks10_chain,5,12,8,13,0.003241,200,true,8|12|12|13|8
B_scaleAxis_tasks20_chain,5,19,18,21,0.088912,400,true,18|20|19|18|21
B_scaleAxis_tasks40_chain,5,65,59,70,0.043901,800,true,62|69|65|70|59
B_scaleAxis_tasks60_chain,5,147,139,168,0.062172,1200,true,139|164|168|147|144
B_scaleAxis_tasks5_fanout,8,4,4,5,5.611444,100,false,4|4|4|5|5
B_scaleAxis_tasks10_fanout,8,11,11,11,9.316127,200,false,11|11|11|11|11
B_scaleAxis_tasks20_fanout,8,31,27,34,11.882587,400,false,31|27|33|30|34
B_scaleAxis_tasks40_fanout,8,134,129,151,0.000000,0,true,134|134|151|129|147
B_scaleAxis_tasks60_fanout,7,308,296,338,0.000000,0,true,315|308|296|338|300
C1_fanOut2_caller_c1,8,2,1,2,5.859560,60,false,2|2|1|2|1
C1_fanOut2_caller_c2,8,2,2,2,5.859560,60,false,2|2|2|2|2
C1_fanOut3_caller_c1,8,2,2,3,7.232366,80,false,2|2|2|3|2
C1_fanOut3_caller_c2,8,2,2,2,7.232366,80,false,2|2|2|2|2
C1_fanOut4_caller_c1,8,3,3,3,6.047821,100,false,3|3|3|3|3
C1_fanOut4_caller_c2,8,3,3,6,6.047821,100,false,3|3|3|6|3
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0|0|0|0|0
C2_infTaskShared,2,0,0,1,0.000000,65,true,0|1|0|0|0
C2_infTaskDeep,3,1,1,1,0.000001,80,true,1|1|1|1|1
C3_multiclassMultiEntry_2refs,2,1,1,1,0.035721,65,true,1|1|1|1|1
C3_multiclassMultiEntry_3refs,2,1,1,1,0.355829,90,true,1|1|1|1|1
C3_multiclassMultiEntry_asymmetric,2,2,1,3,0.062914,65,true,2|1|1|3|2
C4_nearSaturation,3,1,1,1,0.463438,40,true,1|1|1|1|1
C4_predicateThreshold,2,0,0,1,0.000000,40,true,0|0|0|1|1
C4_lowDemand,3,1,0,2,0.000002,40,true,2|1|1|0|0
C5_satFanout_tasks5,42,24,18,26,0.000000,0,true,26|25|19|18|24
C5_satFanout_tasks10,14,17,16,26,0.000000,0,true,26|17|16|20|16
C5_satFanout_tasks20,8,29,29,35,0.000000,0,true,29|29|30|29|35
C5_satFanoutCaller_w2,18,7,6,10,0.000000,0,true,10|7|9|7|6
C5_satFanoutCaller_w3,25,14,11,14,0.000000,0,true,14|14|12|14|11
C5_satFanoutCaller_w4,29,17,16,27,0.000000,0,true,19|16|17|17|27
C6_andForkPsHost,3,0,0,1,0.000000,0,true,1|0|1|0|0
C7_deepChainMultiCall,4,5,5,9,0.000000,0,true,5|5|5|9|7
C7_deepChainAllExp,3,4,4,5,0.000000,0,true,5|4|4|4|4
