fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,5,26,23,29,0.000091,60,true,29|23|26|27|25
A1_chain_d5_N20,5,17,16,27,0.000206,100,true,16|19|17|27|16
A1_chain_d5_N50,5,21,12,32,0.000091,100,true,21|32|31|12|12
A1_chain_d5_N100,5,21,19,40,0.000050,100,true,40|19|21|21|20
A1_chain_d8_N50,5,17,13,21,0.000088,160,true,17|20|21|13|16
A2_multiclassA_2refs_loadLow_N20,2,15,10,18,0.002362,65,true,10|15|14|18|15
A2_multiclassA_2refs_loadHigh_N20,2,15,11,16,0.000827,65,true,14|11|16|15|15
A2_multiclassA_2refs_loadLow_N50,2,3,3,5,0.008834,65,true,3|5|3|3|3
A2_multiclassA_2refs_loadHigh_N50,2,3,2,3,0.002792,65,true,3|3|3|3|2
A2_multiclassB_2refs_demands_3to1_N20,2,11,7,12,0.027154,65,true,7|11|10|12|12
A2_multiclassB_2refs_demands_5to1_N20,2,8,7,8,0.035557,65,true,8|8|8|7|7
A2_multiclassB_2refs_demands_3to1_N50,2,2,1,2,0.009364,65,true,2|2|1|2|2
A2_multiclassB_2refs_demands_5to1_N50,2,2,1,3,0.009912,65,true,3|3|1|1|2
A2_multiclassC_2refs_think_2to1_N20,2,8,7,13,0.016402,65,true,8|7|12|8|13
A2_multiclassC_2refs_think_4to1_N20,2,10,7,12,0.052370,65,true,12|11|10|7|9
A2_multiclassC_2refs_think_2to1_N50,2,2,1,3,0.008722,65,true,1|2|3|1|3
A2_multiclassC_2refs_think_4to1_N50,2,2,1,2,0.017487,65,true,2|2|2|2|1
A3_multiserver_c2_loadLow,4,1,1,2,0.005537,40,true,2|1|1|1|1
A3_multiserver_c2_loadMedium,4,1,1,1,0.004306,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,4,1,1,3,0.003051,40,true,1|3|2|1|1
A3_multiserver_c4_loadLow,4,1,1,1,0.002239,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,4,2,1,2,0.002034,40,true,2|2|2|1|1
A3_multiserver_c4_loadHigh,4,1,1,1,0.001724,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,4,2,2,2,0.002258,40,true,2|2|2|2|2
A3_multiserver_c8_loadMedium,4,2,2,2,0.002198,40,true,2|2|2|2|2
A3_multiserver_c8_loadHigh,5,2,1,2,0.000079,40,true,2|1|2|1|2
A4_threeTier_multiclass,6,10,7,12,0.015711,85,true,10|7|8|12|12
A4_multiclass_multiserver,2,1,1,2,0.117630,65,true,2|1|1|1|1
A4_multiclass_multientry,2,1,1,2,0.059337,90,true,2|2|1|1|1
