fixture_name,bounce,elevator,solverln,lqns
A1_chain_d3_N50,3,6,53,12
A1_chain_d5_N20,3,4,53,14
A1_chain_d5_N50,3,4,53,15
A1_chain_d5_N100,3,4,53,50
A1_chain_d8_N50,3,4,53,19
A2_multiclassA_2refs_loadLow_N20,2,3,53,9
A2_multiclassA_2refs_loadHigh_N20,2,3,53,10
A2_multiclassA_2refs_loadLow_N50,2,3,53,10
A2_multiclassA_2refs_loadHigh_N50,2,3,53,10
A2_multiclassB_2refs_demands_3to1_N20,2,3,53,9
A2_multiclassB_2refs_demands_5to1_N20,2,3,53,9
A2_multiclassB_2refs_demands_3to1_N50,2,3,53,10
A2_multiclassB_2refs_demands_5to1_N50,2,3,53,10
A2_multiclassC_2refs_think_2to1_N20,2,3,53,9
A2_multiclassC_2refs_think_4to1_N20,2,3,53,10
A2_multiclassC_2refs_think_2to1_N50,2,3,53,10
A2_multiclassC_2refs_think_4to1_N50,2,3,53,10
A3_multiserver_c2_loadLow,3,4,53,6
A3_multiserver_c2_loadMedium,3,4,53,7
A3_multiserver_c2_loadHigh,3,4,53,8
A3_multiserver_c4_loadLow,3,4,53,6
A3_multiserver_c4_loadMedium,3,4,53,7
A3_multiserver_c4_loadHigh,3,4,53,8
A3_multiserver_c8_loadLow,3,4,53,6
A3_multiserver_c8_loadMedium,3,4,53,7
A3_multiserver_c8_loadHigh,3,4,53,8
A4_threeTier_multiclass,5,9,53,13
A4_multiclass_multiserver,2,3,53,10
A4_multiclass_multientry,2,3,53,9
A4_chainPlusFanout,6,10,53,9
A4_webApplication,4,5,53,6
A4_databaseBackend,4,4,53,9
A4_threeTier_sequence,4,5,53,6
A4_parallelService_andFork,2,3,53,8
A4_retryLoop,4,6,53,10
A4_replyThenLog,3,4,53,2
A5_orForkUneven,3,4,53,NA
A5_orForkThreeWay,3,4,53,NA
A5_andForkThreeWay,2,3,53,9
A5_andForkMultiAct,2,3,53,8
A5_seqMultiEntry,3,4,53,9
A5_replyAtBound,3,4,53,2
A5_combinedDag,2,3,53,NA
A5_multiclassAndFork,2,3,53,8
B_scaleAxis_tasks5_chain,3,4,53,14
B_scaleAxis_tasks10_chain,3,4,53,21
B_scaleAxis_tasks20_chain,3,4,81,34
B_scaleAxis_tasks40_chain,3,4,161,50
B_scaleAxis_tasks60_chain,3,4,201,50
B_scaleAxis_tasks5_fanout,10,13,53,6
B_scaleAxis_tasks10_fanout,10,13,53,7
B_scaleAxis_tasks20_fanout,10,13,81,6
B_scaleAxis_tasks40_fanout,9,13,161,6
B_scaleAxis_tasks60_fanout,8,11,201,5
C1_fanOut2_caller_c1,8,11,53,7
C1_fanOut2_caller_c2,8,11,53,7
C1_fanOut3_caller_c1,9,11,53,8
C1_fanOut3_caller_c2,9,11,53,8
C1_fanOut4_caller_c1,9,11,53,7
C1_fanOut4_caller_c2,9,11,53,7
C2_infTaskSimple,2,3,53,2
C2_infTaskShared,2,3,53,2
C2_infTaskDeep,3,3,53,2
C3_multiclassMultiEntry_2refs,2,3,53,9
C3_multiclassMultiEntry_3refs,2,3,53,9
C3_multiclassMultiEntry_asymmetric,2,3,53,10
C4_nearSaturation,3,4,53,12
C4_predicateThreshold,2,3,53,5
C4_lowDemand,3,4,53,6
C5_satFanout_tasks5,26,43,81,42
C5_satFanout_tasks10,11,19,85,12
C5_satFanout_tasks20,10,13,81,7
C5_satFanoutCaller_w2,18,29,62,26
C5_satFanoutCaller_w3,18,29,65,29
C5_satFanoutCaller_w4,21,35,74,31
C6_andForkPsHost,3,4,53,50
C7_deepChainMultiCall,4,7,53,14
C7_deepChainAllExp,3,8,56,50
