fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,3,14,8,15,0.000043,60,true,13|15|8|14|14
A1_chain_d5_N20,3,13,7,16,0.000001,100,true,13|16|7|12|14
A1_chain_d5_N50,3,16,13,16,0.000042,100,true,16|16|13|13|16
A1_chain_d5_N100,3,18,13,21,0.000003,100,true,18|21|18|17|13
A1_chain_d8_N50,3,11,10,14,0.000104,160,true,11|10|10|14|14
A2_multiclassA_2refs_loadLow_N20,2,13,8,16,0.002362,65,true,16|14|13|11|8
A2_multiclassA_2refs_loadHigh_N20,2,9,8,13,0.000827,65,true,8|9|9|9|13
A2_multiclassA_2refs_loadLow_N50,2,3,2,3,0.008834,65,true,3|3|3|2|3
A2_multiclassA_2refs_loadHigh_N50,2,2,2,4,0.002792,65,true,4|2|2|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,11,7,31,0.027154,65,true,31|13|7|11|9
A2_multiclassB_2refs_demands_5to1_N20,2,7,7,11,0.035557,65,true,7|11|10|7|7
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,3,0.009364,65,true,2|3|2|2|2
A2_multiclassB_2refs_demands_5to1_N50,2,2,1,2,0.009912,65,true,1|2|2|2|1
A2_multiclassC_2refs_think_2to1_N20,2,7,7,7,0.016402,65,true,7|7|7|7|7
A2_multiclassC_2refs_think_4to1_N20,2,8,6,9,0.052370,65,true,9|6|9|8|7
A2_multiclassC_2refs_think_2to1_N50,2,2,1,3,0.008722,65,true,2|2|3|2|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.017487,65,true,1|1|1|1|1
A3_multiserver_c2_loadLow,3,2,1,2,0.000000,40,true,1|2|1|2|2
A3_multiserver_c2_loadMedium,3,1,1,2,0.000000,40,true,1|2|1|1|1
A3_multiserver_c2_loadHigh,3,1,1,2,0.000000,40,true,1|1|2|1|1
A3_multiserver_c4_loadLow,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,3,1,1,1,0.000000,40,true,1|1|1|1|1
A4_threeTier_multiclass,5,3,3,4,0.028191,85,true,3|3|3|3|4
A4_multiclass_multiserver,2,1,1,2,0.117630,65,true,1|2|1|1|1
A4_multiclass_multientry,2,1,1,2,0.059337,90,true,1|2|1|2|1
A4_chainPlusFanout,6,5,3,7,0.892897,105,true,5|3|7|3|5
A4_webApplication,4,2,1,2,0.000000,85,true,2|2|2|1|2
A4_databaseBackend,4,3,2,5,0.000000,80,true,2|5|3|3|2
A4_threeTier_sequence,4,1,1,2,0.000000,0,true,2|1|1|1|1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,4,1,1,1,0.000000,0,true,1|1|1|1|1
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,1,0,1,0.000000,0,true,1|1|0|1|0
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_combinedDag,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_multiclassAndFork,2,1,1,2,0.000000,0,true,1|1|1|2|1
B_scaleAxis_tasks5_chain,3,3,3,3,0.000418,100,true,3|3|3|3|3
B_scaleAxis_tasks10_chain,3,6,6,8,0.003630,200,true,6|7|8|6|6
B_scaleAxis_tasks20_chain,3,17,15,19,0.089786,400,true,16|18|15|17|19
B_scaleAxis_tasks40_chain,3,64,58,77,0.044153,800,true,64|76|77|60|58
B_scaleAxis_tasks60_chain,3,142,132,160,0.063045,1200,true,138|143|132|142|160
B_scaleAxis_tasks5_fanout,10,7,6,8,5.615232,100,false,8|6|8|7|6
B_scaleAxis_tasks10_fanout,10,14,13,16,9.317782,200,false,16|14|14|14|13
B_scaleAxis_tasks20_fanout,10,40,38,52,11.883936,400,false,40|41|38|52|39
B_scaleAxis_tasks40_fanout,9,148,143,224,0.000000,0,true,154|148|224|143|147
B_scaleAxis_tasks60_fanout,8,290,284,332,0.000000,0,true,288|332|307|284|290
C1_fanOut2_caller_c1,8,2,1,2,5.869591,60,false,2|2|1|2|2
C1_fanOut2_caller_c2,8,2,1,2,5.869591,60,false,2|2|2|1|2
C1_fanOut3_caller_c1,9,3,2,3,7.236766,80,false,3|2|3|3|3
C1_fanOut3_caller_c2,9,3,2,4,7.236766,80,false,4|2|3|2|3
C1_fanOut4_caller_c1,9,3,3,4,6.052090,100,false,3|3|3|3|4
C1_fanOut4_caller_c2,9,3,3,4,6.052090,100,false,3|4|3|3|3
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0|0|0|0|0
C2_infTaskShared,2,0,0,1,0.000000,65,true,1|0|0|0|0
C2_infTaskDeep,3,1,1,1,0.000001,80,true,1|1|1|1|1
C3_multiclassMultiEntry_2refs,2,1,1,1,0.035721,65,true,1|1|1|1|1
C3_multiclassMultiEntry_3refs,2,1,1,1,0.355829,90,true,1|1|1|1|1
C3_multiclassMultiEntry_asymmetric,2,2,1,3,0.062914,65,true,2|2|3|2|1
C4_nearSaturation,3,1,1,1,0.463438,40,true,1|1|1|1|1
C4_predicateThreshold,2,0,0,1,0.000000,40,true,0|0|0|1|1
C4_lowDemand,3,0,0,1,0.000002,40,true,0|1|0|0|0
C5_satFanout_tasks5,26,13,13,14,0.000000,0,true,13|13|14|13|14
C5_satFanout_tasks10,11,20,19,25,0.000000,0,true,20|21|25|20|19
C5_satFanout_tasks20,10,31,30,34,0.000000,0,true,31|31|34|30|32
C5_satFanoutCaller_w2,18,7,7,8,0.000000,0,true,7|8|7|7|8
C5_satFanoutCaller_w3,18,10,8,12,0.000000,0,true,8|10|10|9|12
C5_satFanoutCaller_w4,21,13,13,14,0.000000,0,true,13|13|13|14|14
C6_andForkPsHost,3,1,0,1,0.000000,0,true,1|1|0|1|1
C7_deepChainMultiCall,4,5,4,6,0.000000,0,true,5|5|6|4|5
C7_deepChainAllExp,3,4,4,4,0.000000,0,true,4|4|4|4|4
