fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,4,18,12,21,0.000043,60,true,18|12|13|21|21
A1_chain_d5_N20,5,11,8,21,0.000001,100,true,8|11|8|21|17
A1_chain_d5_N50,5,17,17,20,0.000042,100,true,19|17|17|17|20
A1_chain_d5_N100,5,29,21,70,0.000003,100,true,70|29|32|22|21
A1_chain_d8_N50,6,22,13,22,0.000104,160,true,19|22|13|22|22
A2_multiclassA_2refs_loadLow_N20,2,11,9,15,0.002362,65,true,9|10|11|15|14
A2_multiclassA_2refs_loadHigh_N20,2,9,8,10,0.000827,65,true,9|8|10|8|9
A2_multiclassA_2refs_loadLow_N50,2,3,2,3,0.008834,65,true,3|3|2|3|3
A2_multiclassA_2refs_loadHigh_N50,2,3,2,4,0.002792,65,true,3|2|4|3|2
A2_multiclassB_2refs_demands_3to1_N20,2,10,7,13,0.027154,65,true,10|8|7|12|13
A2_multiclassB_2refs_demands_5to1_N20,2,9,7,11,0.035557,65,true,7|9|11|9|7
A2_multiclassB_2refs_demands_3to1_N50,2,3,2,5,0.009364,65,true,3|5|3|2|3
A2_multiclassB_2refs_demands_5to1_N50,2,3,3,3,0.009912,65,true,3|3|3|3|3
A2_multiclassC_2refs_think_2to1_N20,2,7,7,7,0.016402,65,true,7|7|7|7|7
A2_multiclassC_2refs_think_4to1_N20,2,8,7,12,0.052370,65,true,7|8|9|7|12
A2_multiclassC_2refs_think_2to1_N50,2,2,1,4,0.008722,65,true,3|2|4|2|1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,2,0.017487,65,true,1|2|1|2|1
A3_multiserver_c2_loadLow,3,1,1,2,0.000000,40,true,1|1|1|2|1
A3_multiserver_c2_loadMedium,3,1,1,2,0.000000,40,true,1|1|2|1|1
A3_multiserver_c2_loadHigh,3,1,1,2,0.000000,40,true,1|2|1|1|1
A3_multiserver_c4_loadLow,3,1,1,2,0.000000,40,true,1|2|1|2|1
A3_multiserver_c4_loadMedium,3,1,1,2,0.000000,40,true,1|1|2|1|2
A3_multiserver_c4_loadHigh,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,3,2,1,2,0.000000,40,true,1|2|2|2|1
A3_multiserver_c8_loadMedium,3,1,1,2,0.000000,40,true,1|1|2|1|1
A3_multiserver_c8_loadHigh,3,1,1,1,0.000000,40,true,1|1|1|1|1
A4_threeTier_multiclass,4,3,2,4,0.006581,85,true,3|2|2|4|4
A4_multiclass_multiserver,2,1,1,2,0.117630,65,true,1|2|1|2|1
A4_multiclass_multientry,2,2,1,2,0.059337,90,true,1|2|2|2|2
A4_chainPlusFanout,4,3,3,5,1.383445,105,false,3|5|3|3|3
A4_webApplication,3,2,1,2,0.000000,85,true,2|2|2|2|1
A4_databaseBackend,4,2,2,3,0.000000,80,true,2|3|3|2|2
A4_threeTier_sequence,3,1,1,2,0.000000,0,true,2|1|1|1|1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,4,1,1,2,0.000000,0,true,1|1|1|1|2
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,3,1,1,2,0.000000,0,true,2|1|1|2|1
A5_replyAtBound,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_combinedDag,2,1,1,1,0.000000,0,true,1|1|1|1|1
A5_multiclassAndFork,2,1,1,2,0.000000,0,true,1|2|1|1|1
B_scaleAxis_tasks5_chain,5,4,4,7,0.000418,100,true,7|4|4|4|4
B_scaleAxis_tasks10_chain,7,12,10,18,0.003630,200,true,12|18|12|13|10
B_scaleAxis_tasks20_chain,12,39,34,52,0.089786,400,true,34|35|39|51|52
B_scaleAxis_tasks40_chain,22,143,124,170,0.044153,800,true,124|170|143|148|134
B_scaleAxis_tasks60_chain,32,353,321,370,0.063045,1200,true,353|370|321|329|365
B_scaleAxis_tasks5_fanout,7,4,4,6,5.611367,100,false,4|4|4|4|6
B_scaleAxis_tasks10_fanout,7,12,10,21,9.315865,200,false,10|12|11|12|21
B_scaleAxis_tasks20_fanout,7,30,26,42,11.884239,400,false,30|30|26|42|30
B_scaleAxis_tasks40_fanout,4,94,81,126,0.000000,0,true,126|94|95|93|81
B_scaleAxis_tasks60_fanout,4,253,242,361,0.000000,0,true,252|361|242|253|260
C1_fanOut2_caller_c1,6,2,1,12,5.860472,60,false,3|12|2|2|1
C1_fanOut2_caller_c2,6,1,1,3,5.860472,60,false,3|1|1|1|1
C1_fanOut3_caller_c1,6,2,2,2,7.232870,80,false,2|2|2|2|2
C1_fanOut3_caller_c2,6,2,2,3,7.232870,80,false,2|2|2|3|2
C1_fanOut4_caller_c1,6,3,3,4,6.048165,100,false,4|3|3|3|3
C1_fanOut4_caller_c2,6,3,3,3,6.048165,100,false,3|3|3|3|3
C2_infTaskSimple,2,0,0,1,0.000000,40,true,1|0|0|0|0
C2_infTaskShared,2,1,0,1,0.000000,65,true,1|0|1|0|1
C2_infTaskDeep,3,1,1,2,0.000001,80,true,1|1|1|1|2
C3_multiclassMultiEntry_2refs,2,1,1,1,0.035721,65,true,1|1|1|1|1
C3_multiclassMultiEntry_3refs,2,1,1,2,0.355829,90,true,1|2|1|1|1
C3_multiclassMultiEntry_asymmetric,2,1,1,2,0.062914,65,true,1|1|2|1|1
C4_nearSaturation,3,1,1,1,0.463438,40,true,1|1|1|1|1
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0|0|0|0|0
C4_lowDemand,3,1,0,1,0.000002,40,true,0|1|1|1|1
C5_satFanout_tasks5,18,10,9,16,0.000000,0,true,9|16|10|10|11
C5_satFanout_tasks10,9,13,12,14,0.000000,0,true,12|14|12|13|13
C5_satFanout_tasks20,4,21,20,26,0.000000,0,true,26|21|20|21|23
C5_satFanoutCaller_w2,13,5,5,7,0.000000,0,true,5|6|5|5|7
C5_satFanoutCaller_w3,13,8,7,11,0.000000,0,true,7|7|11|8|8
C5_satFanoutCaller_w4,13,9,9,11,0.000000,0,true,9|11|10|9|9
C6_andForkPsHost,3,0,0,1,0.000000,0,true,0|0|0|1|0
C7_deepChainMultiCall,4,9,5,10,0.000000,0,true,9|5|6|9|10
C7_deepChainAllExp,5,10,7,37,0.000000,0,true,7|8|37|10|11
