fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,6,13,11,17,0.000043,60,true,17|17|13|11|12
A1_chain_d5_N20,4,7,5,14,0.000001,100,true,14|7|5|7|7
A1_chain_d5_N50,4,14,11,17,0.000042,100,true,14|17|11|17|14
A1_chain_d5_N100,4,22,20,34,0.000003,100,true,22|22|23|20|34
A1_chain_d8_N50,4,14,14,15,0.000104,160,true,14|14|15|14|14
A2_multiclassA_2refs_loadLow_N20,3,51,40,62,0.002362,65,true,40|62|48|51|59
A2_multiclassA_2refs_loadHigh_N20,3,31,7,50,0.000827,65,true,50|49|31|7|7
A2_multiclassA_2refs_loadLow_N50,3,2,2,3,0.008834,65,true,2|2|2|2|3
A2_multiclassA_2refs_loadHigh_N50,3,3,3,3,0.002792,65,true,3|3|3|3|3
A2_multiclassB_2refs_demands_3to1_N20,3,6,5,7,0.027154,65,true,6|7|6|6|5
A2_multiclassB_2refs_demands_5to1_N20,3,6,4,8,0.035557,65,true,6|5|8|6|4
A2_multiclassB_2refs_demands_3to1_N50,3,3,2,3,0.009364,65,true,3|2|3|3|3
A2_multiclassB_2refs_demands_5to1_N50,3,2,1,4,0.009912,65,true,3|1|2|2|4
A2_multiclassC_2refs_think_2to1_N20,3,4,4,6,0.016402,65,true,6|4|4|5|4
A2_multiclassC_2refs_think_4to1_N20,3,4,4,5,0.052370,65,true,4|5|4|4|4
A2_multiclassC_2refs_think_2to1_N50,3,1,1,3,0.008722,65,true,1|1|3|1|1
A2_multiclassC_2refs_think_4to1_N50,3,1,1,2,0.017487,65,true,2|1|1|1|1
A3_multiserver_c2_loadLow,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,4,1,0,1,0.000000,40,true,0|1|1|0|1
A3_multiserver_c4_loadLow,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,4,1,0,1,0.000000,40,true,1|1|1|1|0
A4_threeTier_multiclass,9,3,2,4,0.014689,85,true,4|3|2|3|3
A4_multiclass_multiserver,3,1,1,1,0.117630,65,true,1|1|1|1|1
A4_multiclass_multientry,3,1,1,2,0.059337,90,true,2|2|1|1|1
A4_chainPlusFanout,10,4,3,5,0.892897,105,true,3|4|4|5|4
A4_webApplication,5,2,1,2,0.000000,85,true,2|2|1|1|2
A4_databaseBackend,4,3,2,3,0.000000,80,true,3|2|3|3|2
A4_threeTier_sequence,5,1,1,1,0.000000,0,true,1|1|1|1|1
A4_parallelService_andFork,3,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,6,1,1,2,0.000000,0,true,1|1|1|2|2
A4_replyThenLog,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_combinedDag,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_multiclassAndFork,3,1,1,1,0.000000,0,true,1|1|1|1|1
B_scaleAxis_tasks5_chain,4,2,2,3,0.000418,100,true,2|3|2|2|2
B_scaleAxis_tasks10_chain,4,5,5,6,0.003630,200,true,6|5|5|6|5
B_scaleAxis_tasks20_chain,4,15,13,16,0.089786,400,true,15|13|16|15|14
B_scaleAxis_tasks40_chain,4,54,52,68,0.044153,800,true,52|54|68|66|52
B_scaleAxis_tasks60_chain,4,139,136,145,0.063045,1200,true,139|136|144|145|139
B_scaleAxis_tasks5_fanout,13,6,4,7,5.611854,100,false,6|5|6|7|4
B_scaleAxis_tasks10_fanout,13,10,8,13,9.308913,200,false,10|8|10|10|13
B_scaleAxis_tasks20_fanout,13,25,24,30,11.885608,400,false,24|24|25|30|27
B_scaleAxis_tasks40_fanout,13,117,96,156,0.000000,0,true,97|96|131|117|156
B_scaleAxis_tasks60_fanout,11,228,220,257,0.000000,0,true,220|257|240|225|228
C1_fanOut2_caller_c1,11,1,1,2,5.866986,60,false,1|1|1|1|2
C1_fanOut2_caller_c2,11,1,1,1,5.866986,60,false,1|1|1|1|1
C1_fanOut3_caller_c1,11,2,2,2,7.234186,80,false,2|2|2|2|2
C1_fanOut3_caller_c2,11,2,2,3,7.234186,80,false,2|2|2|2|3
C1_fanOut4_caller_c1,11,2,2,2,6.046178,100,false,2|2|2|2|2
C1_fanOut4_caller_c2,11,2,2,3,6.046178,100,false,2|2|2|2|3
C2_infTaskSimple,3,0,0,0,0.000000,40,true,0|0|0|0|0
C2_infTaskShared,3,0,0,1,0.000000,65,true,1|0|0|0|0
C2_infTaskDeep,3,1,1,1,0.000001,80,true,1|1|1|1|1
C3_multiclassMultiEntry_2refs,3,1,1,1,0.035721,65,true,1|1|1|1|1
C3_multiclassMultiEntry_3refs,3,1,1,1,0.355829,90,true,1|1|1|1|1
C3_multiclassMultiEntry_asymmetric,3,1,1,2,0.062914,65,true,1|2|1|2|1
C4_nearSaturation,4,0,0,1,0.463438,40,true,0|0|0|1|0
