fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,5,15,12,20,0.000043,60,true,19|20|13|12|15
A1_chain_d5_N20,7,8,7,9,0.000001,100,true,8|8|9|7|7
A1_chain_d5_N50,7,16,15,19,0.000042,100,true,16|15|16|16|19
A1_chain_d5_N100,7,40,33,61,0.000003,100,true,40|37|61|42|33
A1_chain_d8_N50,10,26,26,38,0.000104,160,true,26|28|26|26|38
A2_multiclassA_2refs_loadLow_N20,3,12,11,13,0.002362,65,true,13|12|11|13|11
A2_multiclassA_2refs_loadHigh_N20,3,11,11,13,0.000827,65,true,13|11|12|11|11
A2_multiclassA_2refs_loadLow_N50,3,3,3,4,0.008834,65,true,3|3|3|4|3
A2_multiclassA_2refs_loadHigh_N50,3,3,3,22,0.002792,65,true,3|3|3|3|22
A2_multiclassB_2refs_demands_3to1_N20,3,7,7,8,0.027154,65,true,7|7|8|8|7
A2_multiclassB_2refs_demands_5to1_N20,3,12,8,13,0.035557,65,true,13|8|13|12|11
A2_multiclassB_2refs_demands_3to1_N50,3,2,1,2,0.009364,65,true,2|2|2|2|1
A2_multiclassB_2refs_demands_5to1_N50,3,1,1,2,0.009912,65,true,1|1|1|2|2
A2_multiclassC_2refs_think_2to1_N20,3,6,5,9,0.016402,65,true,5|7|6|6|9
A2_multiclassC_2refs_think_4to1_N20,3,6,5,9,0.052370,65,true,8|6|5|9|5
A2_multiclassC_2refs_think_2to1_N50,3,2,1,3,0.008722,65,true,2|3|3|2|1
A2_multiclassC_2refs_think_4to1_N50,3,1,1,2,0.017487,65,true,1|1|2|1|1
A3_multiserver_c2_loadLow,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c2_loadHigh,4,1,0,2,0.000000,40,true,0|1|2|0|1
A3_multiserver_c4_loadLow,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,4,2,1,3,0.000000,40,true,1|1|3|2|2
A3_multiserver_c8_loadMedium,4,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,4,1,1,1,0.000000,40,true,1|1|1|1|1
A4_threeTier_multiclass,3,3,3,4,7.942380,85,false,3|4|3|3|3
A4_multiclass_multiserver,3,1,1,2,0.117630,65,true,1|2|2|1|1
A4_multiclass_multientry,3,2,1,2,0.059337,90,true,2|2|2|1|2
A4_chainPlusFanout,7,5,5,7,1.383445,105,false,5|5|5|5|7
A4_webApplication,5,2,2,3,0.000000,85,true,2|2|3|3|2
A4_databaseBackend,6,4,2,4,0.000000,80,true,4|3|4|4|2
A4_threeTier_sequence,5,1,1,2,0.000000,0,true,1|1|1|2|1
A4_parallelService_andFork,3,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,5,2,1,3,0.000000,0,true,2|3|2|1|1
A4_replyThenLog,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkThreeWay,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,4,1,0,1,0.000000,0,true,1|1|0|1|1
A5_combinedDag,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_multiclassAndFork,3,1,1,2,0.000000,0,true,1|1|2|1|1
B_scaleAxis_tasks5_chain,7,3,3,4,0.000418,100,true,3|3|3|3|4
B_scaleAxis_tasks10_chain,12,9,8,10,0.003630,200,true,8|10|9|8|9
B_scaleAxis_tasks20_chain,22,35,30,46,0.089786,400,true,35|46|30|31|36
B_scaleAxis_tasks40_chain,42,119,107,132,0.044153,800,true,132|128|107|119|109
B_scaleAxis_tasks60_chain,62,288,254,315,0.063045,1200,true,254|288|270|315|302
B_scaleAxis_tasks5_fanout,12,3,2,3,5.613980,100,false,2|3|3|3|3
B_scaleAxis_tasks10_fanout,6,6,6,7,10.134887,200,false,6|6|7|6|6
B_scaleAxis_tasks20_fanout,6,21,18,31,13.062276,400,false,31|18|22|21|18
B_scaleAxis_tasks40_fanout,6,78,73,80,0.000000,0,true,79|73|78|73|80
B_scaleAxis_tasks60_fanout,7,220,190,229,0.000000,0,true,190|193|226|220|229
C1_fanOut2_caller_c1,11,1,1,1,5.862326,60,false,1|1|1|1|1
C1_fanOut2_caller_c2,11,1,1,4,5.862326,60,false,1|4|1|3|1
C1_fanOut3_caller_c1,11,2,2,2,7.234584,80,false,2|2|2|2|2
C1_fanOut3_caller_c2,11,2,2,2,7.234584,80,false,2|2|2|2|2
C1_fanOut4_caller_c1,11,3,3,3,6.050090,100,false,3|3|3|3|3
C1_fanOut4_caller_c2,11,2,2,3,6.050090,100,false,3|3|2|2|2
C2_infTaskSimple,3,0,0,0,0.000000,40,true,0|0|0|0|0
C2_infTaskShared,3,0,0,1,0.000000,65,true,1|0|0|0|0
C2_infTaskDeep,5,1,1,1,0.000001,80,true,1|1|1|1|1
C3_multiclassMultiEntry_2refs,3,1,1,1,0.035721,65,true,1|1|1|1|1
C3_multiclassMultiEntry_3refs,3,1,1,2,0.355829,90,true,1|1|1|1|2
C3_multiclassMultiEntry_asymmetric,3,2,1,3,0.062914,65,true,2|1|2|1|3
C4_nearSaturation,4,1,0,1,0.463438,40,true,0|1|1|1|0
C4_predicateThreshold,3,0,0,0,0.000000,40,true,0|0|0|0|0
C4_lowDemand,4,0,0,1,0.000002,40,true,1|0|0|0|0
C5_satFanout_tasks5,35,9,8,15,0.000000,0,true,8|15|9|10|8
C5_satFanout_tasks10,17,12,12,17,0.000000,0,true,12|12|15|17|12
C5_satFanout_tasks20,7,21,19,22,0.000000,0,true,21|19|20|22|22
C5_satFanoutCaller_w2,25,5,5,6,0.000000,0,true,5|5|5|6|5
C5_satFanoutCaller_w3,25,7,6,10,0.000000,0,true,6|7|7|7|10
C5_satFanoutCaller_w4,25,10,9,12,0.000000,0,true,11|9|10|12|9
C6_andForkPsHost,4,1,0,2,0.000000,0,true,0|1|2|1|1
