fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,4,11,7,15,0.000043,60,true,15|11|7|11|7
A1_chain_d5_N20,4,7,6,11,0.000001,100,true,11|6|6|7|10
A1_chain_d5_N50,4,11,9,18,0.000042,100,true,18|9|12|11|11
A1_chain_d5_N100,4,22,19,37,0.000003,100,true,25|19|22|19|37
A1_chain_d8_N50,4,9,8,14,0.000104,160,true,9|8|8|14|9
A2_multiclassA_2refs_loadLow_N20,3,14,9,16,0.002362,65,true,14|16|15|13|9
A2_multiclassA_2refs_loadHigh_N20,3,10,8,14,0.000827,65,true,10|14|12|8|9
A2_multiclassA_2refs_loadLow_N50,3,2,2,4,0.008834,65,true,2|2|2|4|2
A2_multiclassA_2refs_loadHigh_N50,3,2,2,3,0.002792,65,true,2|2|3|2|2
A2_multiclassB_2refs_demands_3to1_N20,3,7,6,9,0.027154,65,true,6|7|6|9|7
A2_multiclassB_2refs_demands_5to1_N20,3,6,6,8,0.035557,65,true,8|7|6|6|6
A2_multiclassB_2refs_demands_3to1_N50,3,2,2,2,0.009364,65,true,2|2|2|2|2
A2_multiclassB_2refs_demands_5to1_N50,3,2,2,3,0.009912,65,true,2|2|2|2|3
A2_multiclassC_2refs_think_2to1_N20,3,5,4,6,0.016402,65,true,5|6|4|4|6
A2_multiclassC_2refs_think_4to1_N20,3,6,6,7,0.052370,65,true,6|7|7|6|6
A2_multiclassC_2refs_think_2to1_N50,3,2,2,4,0.008722,65,true,2|3|4|2|2
A2_multiclassC_2refs_think_4to1_N50,3,2,1,2,0.017487,65,true,2|2|2|1|1
A3_multiserver_c2_loadLow,2,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c2_loadMedium,3,1,0,1,0.000000,40,true,1|1|1|1|0
A3_multiserver_c2_loadHigh,3,1,0,4,0.000000,40,true,1|4|1|0|0
A3_multiserver_c4_loadLow,2,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadMedium,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c4_loadHigh,3,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,2,1,1,1,0.000000,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,3,2,1,2,0.000000,40,true,1|2|2|2|2
A3_multiserver_c8_loadHigh,3,1,1,1,0.000000,40,true,1|1|1|1|1
A4_threeTier_multiclass,6,2,2,4,0.014689,85,true,2|4|2|3|2
A4_multiclass_multiserver,3,1,1,2,0.117630,65,true,2|1|1|1|1
A4_multiclass_multientry,3,2,1,3,0.059337,90,true,2|2|1|2|3
A4_chainPlusFanout,4,3,2,5,1.383445,105,false,2|3|5|4|2
A4_webApplication,4,2,1,4,0.000000,85,true,4|2|2|1|2
A4_databaseBackend,4,2,1,3,0.000000,80,true,2|2|3|2|1
A4_threeTier_sequence,4,1,1,1,0.000000,0,true,1|1|1|1|1
A4_parallelService_andFork,3,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,4,1,1,1,0.000000,0,true,1|1|1|1|1
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,3,1,1,2,0.000000,0,true,2|1|2|1|1
A5_orForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkThreeWay,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_andForkMultiAct,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_seqMultiEntry,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_replyAtBound,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_combinedDag,3,1,1,2,0.000000,0,true,2|1|1|1|1
A5_multiclassAndFork,2,1,1,2,0.000000,0,true,2|1|1|1|1
B_scaleAxis_tasks5_chain,4,2,2,3,0.000418,100,true,3|2|3|2|2
B_scaleAxis_tasks10_chain,4,5,5,7,0.003630,200,true,5|7|5|5|7
B_scaleAxis_tasks20_chain,4,15,15,24,0.089786,400,true,15|24|15|16|15
B_scaleAxis_tasks40_chain,4,57,56,73,0.044153,800,true,57|57|56|73|57
B_scaleAxis_tasks60_chain,4,141,134,172,0.063045,1200,true,137|172|134|141|162
B_scaleAxis_tasks5_fanout,7,3,3,4,5.600775,100,false,4|3|3|3|3
B_scaleAxis_tasks10_fanout,9,9,8,14,9.318270,200,false,14|8|8|9|14
B_scaleAxis_tasks20_fanout,10,28,25,29,11.894126,400,false,25|28|29|29|25
B_scaleAxis_tasks40_fanout,10,98,87,116,0.000000,0,true,109|87|97|98|116
B_scaleAxis_tasks60_fanout,9,261,248,278,0.000000,0,true,261|260|278|248|265
C1_fanOut2_caller_c1,7,1,1,1,5.848538,60,false,1|1|1|1|1
C1_fanOut2_caller_c2,7,1,1,2,5.848538,60,false,1|1|2|1|1
C1_fanOut3_caller_c1,7,2,1,2,7.228970,80,false,2|2|2|2|1
C1_fanOut3_caller_c2,7,2,1,3,7.228970,80,false,2|1|2|2|3
C1_fanOut4_caller_c1,6,2,2,3,6.058712,100,false,3|3|2|2|2
C1_fanOut4_caller_c2,6,2,2,3,6.058712,100,false,2|2|3|2|3
C2_infTaskSimple,2,0,0,1,0.000000,40,true,0|0|0|1|0
C2_infTaskShared,2,0,0,1,0.000000,65,true,0|0|1|0|0
C2_infTaskDeep,3,1,1,2,0.000001,80,true,1|2|1|1|1
C3_multiclassMultiEntry_2refs,3,1,1,1,0.035721,65,true,1|1|1|1|1
C3_multiclassMultiEntry_3refs,3,1,1,1,0.355829,90,true,1|1|1|1|1
C3_multiclassMultiEntry_asymmetric,3,1,1,1,0.062914,65,true,1|1|1|1|1
C4_nearSaturation,3,0,0,1,0.463438,40,true,0|0|0|1|1
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0|0|0|0|0
C4_lowDemand,2,0,0,0,0.000002,40,true,0|0|0|0|0
C5_satFanout_tasks5,35,9,8,10,0.000000,0,true,9|10|9|8|8
C5_satFanout_tasks10,16,12,9,16,0.000000,0,true,9|11|12|13|16
C5_satFanout_tasks20,12,35,28,39,0.000000,0,true,28|39|35|37|30
C5_satFanoutCaller_w2,20,4,4,5,0.000000,0,true,4|5|4|5|4
C5_satFanoutCaller_w3,24,7,7,10,0.000000,0,true,10|7|7|7|7
C5_satFanoutCaller_w4,25,9,9,14,0.000000,0,true,9|14|9|9|12
C6_andForkPsHost,3,0,0,1,0.000000,0,true,0|0|0|0|1
C7_deepChainMultiCall,4,3,3,4,0.000000,0,true,3|3|3|4|4
C7_deepChainAllExp,5,4,4,4,0.000000,0,true,4|4|4|4|4
