fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,3,5,5,5,0.000043,60,true,5
A1_chain_d5_N20,3,5,5,5,0.000001,100,true,5
A1_chain_d5_N50,3,6,6,6,0.000042,100,true,6
A1_chain_d5_N100,3,15,15,15,0.000003,100,true,15
A1_chain_d8_N50,3,9,9,9,0.000104,160,true,9
A2_multiclassA_2refs_loadLow_N20,2,5,5,5,0.002362,65,true,5
A2_multiclassA_2refs_loadHigh_N20,2,7,7,7,0.000827,65,true,7
A2_multiclassA_2refs_loadLow_N50,2,1,1,1,0.008834,65,true,1
A2_multiclassA_2refs_loadHigh_N50,2,1,1,1,0.002792,65,true,1
A2_multiclassB_2refs_demands_3to1_N20,2,5,5,5,0.027154,65,true,5
A2_multiclassB_2refs_demands_5to1_N20,2,5,5,5,0.035557,65,true,5
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,2,0.009364,65,true,2
A2_multiclassB_2refs_demands_5to1_N50,2,2,2,2,0.009912,65,true,2
A2_multiclassC_2refs_think_2to1_N20,2,8,8,8,0.014538,65,true,8
A2_multiclassC_2refs_think_4to1_N20,2,8,8,8,0.040825,65,true,8
A2_multiclassC_2refs_think_2to1_N50,2,2,2,2,0.008283,65,true,2
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.016165,65,true,1
A3_multiserver_c2_loadLow,3,0,0,0,0.000000,40,true,0
A3_multiserver_c2_loadMedium,3,0,0,0,0.000000,40,true,0
A3_multiserver_c2_loadHigh,3,0,0,0,0.000000,40,true,0
A3_multiserver_c4_loadLow,3,0,0,0,0.000000,40,true,0
A3_multiserver_c4_loadMedium,3,0,0,0,0.000000,40,true,0
A3_multiserver_c4_loadHigh,3,0,0,0,0.000000,40,true,0
A3_multiserver_c8_loadLow,3,0,0,0,0.000000,40,true,0
A3_multiserver_c8_loadMedium,3,0,0,0,0.000000,40,true,0
A3_multiserver_c8_loadHigh,3,0,0,0,0.000000,40,true,0
A4_threeTier_multiclass,5,3,3,3,0.015522,85,true,3
A4_multiclass_multiserver,2,1,1,1,0.111505,65,true,1
A4_multiclass_multientry,2,2,2,2,0.057472,90,true,2
A4_chainPlusFanout,9,3,3,3,0.892897,105,true,3
A4_webApplication,2,1,1,1,0.358173,85,true,1
A4_databaseBackend,3,2,2,2,0.000000,80,true,2
A4_threeTier_sequence,2,1,1,1,0.000000,0,true,1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1
A4_retryLoop,3,1,1,1,0.000000,0,true,1
A4_replyThenLog,3,0,0,0,0.000000,0,true,0
A5_orForkUneven,3,0,0,0,0.000000,0,true,0
A5_orForkThreeWay,3,0,0,0,0.000000,0,true,0
A5_andForkThreeWay,2,0,0,0,0.000000,0,true,0
A5_andForkMultiAct,2,0,0,0,0.000000,0,true,0
A5_seqMultiEntry,3,0,0,0,0.000000,0,true,0
A5_replyAtBound,3,1,1,1,0.000000,0,true,1
A5_combinedDag,2,0,0,0,0.000000,0,true,0
A5_multiclassAndFork,2,0,0,0,0.000000,0,true,0
B_scaleAxis_tasks5_chain,3,1,1,1,0.000418,100,true,1
B_scaleAxis_tasks10_chain,3,3,3,3,0.003630,200,true,3
B_scaleAxis_tasks20_chain,3,9,9,9,0.089786,400,true,9
B_scaleAxis_tasks40_chain,3,30,30,30,0.044153,800,true,30
B_scaleAxis_tasks60_chain,3,83,83,83,0.063045,1200,true,83
B_scaleAxis_tasks5_fanout,12,3,3,3,2.405460,100,false,3
B_scaleAxis_tasks10_fanout,12,7,7,7,2.409677,200,false,7
B_scaleAxis_tasks20_fanout,12,19,19,19,1.101481,400,false,19
B_scaleAxis_tasks40_fanout,11,61,61,61,0.000000,0,true,61
B_scaleAxis_tasks60_fanout,10,131,131,131,0.000000,0,true,131
C1_fanOut2_caller_c1,11,0,0,0,0.388987,60,true,0
C1_fanOut2_caller_c2,11,1,1,1,0.388987,60,true,1
C1_fanOut3_caller_c1,11,1,1,1,0.345409,80,true,1
C1_fanOut3_caller_c2,11,1,1,1,0.345409,80,true,1
C1_fanOut4_caller_c1,12,1,1,1,0.307240,100,true,1
C1_fanOut4_caller_c2,12,1,1,1,0.307240,100,true,1
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0
C2_infTaskShared,2,0,0,0,0.000000,65,true,0
C2_infTaskDeep,2,0,0,0,0.000001,80,true,0
C3_multiclassMultiEntry_2refs,2,0,0,0,0.035019,65,true,0
C3_multiclassMultiEntry_3refs,2,0,0,0,0.298966,90,true,0
C3_multiclassMultiEntry_asymmetric,2,0,0,0,0.062914,65,true,0
C4_nearSaturation,3,0,0,0,0.463438,40,true,0
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0
C4_lowDemand,3,0,0,0,0.000002,40,true,0
C5_satFanout_tasks5,30,6,6,6,0.000000,0,true,6
C5_satFanout_tasks10,13,6,6,6,0.000000,0,true,6
C5_satFanout_tasks20,12,15,15,15,0.000000,0,true,15
C5_satFanoutCaller_w2,23,3,3,3,0.000000,0,true,3
C5_satFanoutCaller_w3,26,5,5,5,0.000000,0,true,5
C5_satFanoutCaller_w4,22,5,5,5,0.000000,0,true,5
C6_andForkPsHost,3,0,0,0,0.000000,0,true,0
C7_deepChainMultiCall,5,2,2,2,0.000000,0,true,2
C7_deepChainAllExp,3,1,1,1,0.000000,0,true,1
