fixture_name,lqns_iters,lqns_time_ms,sim_vs_lqns_max_rel_diff,sim_vs_ln_max_rel_diff,matches_within_tol
A1_chain_d3_N50,12,500,0.018162954954647304,2.134757490402767E-6,match-ln
A1_chain_d5_N20,14,77,0.00843047927875342,3.714132185728673E-8,match-ln
A1_chain_d5_N50,15,59,0.018162954954647304,2.1279590799571067E-6,match-ln
A1_chain_d5_N100,50,61,0.011035825861159367,1.7228200366711692E-7,match-ln
A1_chain_d8_N50,19,84,0.018162954954647304,5.2280851766185225E-6,match-ln
A2_multiclassA_2refs_loadLow_N20,9,44,0.5000079999999999,1.1822905059019936E-4,match-ln
A2_multiclassA_2refs_loadHigh_N20,10,40,0.49999963793041025,4.1387690706106725E-5,match-ln
A2_multiclassA_2refs_loadLow_N50,10,45,0.4997830316890521,4.4189298629087833E-4,match-ln
A2_multiclassA_2refs_loadHigh_N50,10,39,0.4999316757507632,1.3964118037485343E-4,match-ln
A2_multiclassB_2refs_demands_3to1_N20,9,42,0.7369659928179099,0.001359531198530082,match-ln
A2_multiclassB_2refs_demands_5to1_N20,9,46,0.8216312877830878,0.001779978209858555,match-ln
A2_multiclassB_2refs_demands_3to1_N50,10,47,0.7448478498387786,4.6846225916296334E-4,match-ln
A2_multiclassB_2refs_demands_5to1_N50,10,44,0.8287564552074922,4.958272541139544E-4,match-ln
A2_multiclassC_2refs_think_2to1_N20,9,46,0.5128078772162594,8.205438235700965E-4,match-ln
A2_multiclassC_2refs_think_4to1_N20,10,42,0.5381638729913577,0.0026199704343522335,match-ln
A2_multiclassC_2refs_think_2to1_N50,10,39,0.5048893848458335,4.361744390904642E-4,match-ln
A2_multiclassC_2refs_think_4to1_N50,10,45,0.5148586784218948,8.745258894391715E-4,match-ln
A3_multiserver_c2_loadLow,6,40,0.05152915404642104,8.971813918930354E-9,match-ln
A3_multiserver_c2_loadMedium,7,41,0.12061910477962988,6.973386617755015E-9,match-ln
A3_multiserver_c2_loadHigh,8,38,0.14576461492351184,1.1017551485745867E-8,match-ln
A3_multiserver_c4_loadLow,6,43,0.004301804436131094,8.843923331036364E-9,match-ln
A3_multiserver_c4_loadMedium,7,37,0.017570278136248185,1.1480981767115277E-8,match-ln
A3_multiserver_c4_loadHigh,8,50,0.008478575027452298,1.672147850555455E-8,match-ln
A3_multiserver_c8_loadLow,6,36,3.037522938101944E-4,9.991293521755557E-9,match-ln
A3_multiserver_c8_loadMedium,7,40,0.009893642947892578,1.0734038792624971E-8,match-ln
A3_multiserver_c8_loadHigh,8,42,0.003126617436902691,1.6710729481066138E-8,match-ln
A4_threeTier_multiclass,13,44,0.9710484583616301,0.0014133495844144029,match-ln
A4_multiclass_multiserver,10,38,0.5744084108833205,0.0058931291162968085,match-ln
A4_multiclass_multientry,9,42,0.7235758991816224,0.0029704995920316673,match-ln
A4_chainPlusFanout,9,48,0.8144248448311985,0.047621191697856,match-ln
A4_webApplication,6,46,0.8405786426363236,1.8901380285144722E-8,match-ln
A4_databaseBackend,9,40,0.02358518941662322,2.025474332613784E-8,match-ln
A4_threeTier_sequence,6,56,0.8006248315313428,0.039781102447431146,match-ln
A4_parallelService_andFork,8,42,0.28738879599949607,4.37719490573342E-4,match-ln
A4_retryLoop,10,39,0.030956925421981297,8.492578803253991E-8,match-ln
A4_replyThenLog,2,37,56.50000089026155,0.001869542403480529,match-ln
A5_orForkUneven,9,61,0.6980805949372861,2.001111325225516E-8,match-ln
A5_orForkThreeWay,8,56,0.7933665833162645,2.026260427220642E-8,match-ln
A5_andForkThreeWay,9,41,0.6615398234316313,2.3517507436495323E-4,match-ln
A5_andForkMultiAct,8,42,0.37720140789988305,4.377249605331319E-4,match-ln
A5_seqMultiEntry,9,39,0.5003417112128414,1.7841518981792872E-8,match-ln
