fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A3_multiserver_c8_loadLow,A3,f17_f24off,3,32,53,614,6,43,9.991293521755557E-9,Infinity,match-ln,
C2_infTaskShared,C2,f17_f24off,2,33,53,1749,2,52,2.3028322668378117E-8,Infinity,match-ln,
C2_infTaskSimple,C2,f17_f24off,2,19,53,513,2,38,1.4814814737485247E-8,Infinity,match-ln,
B_scaleAxis_tasks10_fanout,B,f17_f24off,10,200,53,9444,7,117,0.4661943123010325,Infinity,match-neither,
A1_chain_d5_N100,A1,f17_f24off,3,66,53,4477,50,46,1.7228200366711692E-7,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N20,A2,f17_f24off,2,29,53,1422,10,37,4.1387690706106725E-5,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N50,A2,f17_f24off,2,25,53,1490,10,42,1.3964118037485343E-4,Infinity,match-ln,
C4_lowDemand,C4,f17_f24off,3,19,53,444,6,36,1.5234253431667415E-7,Infinity,match-ln,
C3_multiclassMultiEntry_asymmetric,C3,f17_f24off,2,23,53,1328,10,38,0.0031854540870217365,Infinity,match-ln,
C2_infTaskDeep,C2,f17_f24off,3,24,53,2296,2,37,4.6306999344064256E-8,Infinity,match-ln,
C5_satFanout_tasks10,C5,f17_f24off,11,154,85,21777,12,145,0.4675063808582269,Infinity,match-neither,
C5_satFanout_tasks20,C5,f17_f24off,10,634,81,30765,7,584,0.6054241421406608,Infinity,match-neither,
C5_satFanoutCaller_w2,C5,f17_f24off,18,44,62,4238,26,34,0.5461559963276738,Infinity,match-neither,
C5_satFanoutCaller_w3,C5,f17_f24off,18,34,65,5895,29,39,0.5159597384104402,Infinity,match-neither,
C5_satFanoutCaller_w4,C5,f17_f24off,21,51,74,8956,31,72,0.44280151936520484,Infinity,match-neither,
A4_retryLoop,A4,f17_f24off,4,31,53,776,10,40,8.492578803253991E-8,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N20,A2,f17_f24off,2,30,53,1323,9,34,0.001779978209858555,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N50,A2,f17_f24off,2,17,53,1313,10,38,4.958272541139544E-4,Infinity,match-ln,
A4_chainPlusFanout,A4,f17_f24off,6,36,53,3321,9,37,0.047621191697856,Infinity,match-ln,
C6_andForkPsHost,C6,f17_f24off,3,225,53,13330,50,31,0.36167077270887615,Infinity,match-neither,
A3_multiserver_c8_loadHigh,A3,f17_f24off,3,9,53,311,8,28,1.6710729481066138E-8,Infinity,match-ln,
C6_multiclassAndFork,C6,f17_f24off,2,524,53,30501,8,33,1.0761322450827713,Infinity,match-neither,
A4_threeTier_sequence,A4,f17_f24off,4,20,53,728,6,40,0.039781102447431146,Infinity,match-ln,
A4_parallelService_andFork,A4,f17_f24off,2,150,53,9115,8,23,4.37719490573342E-4,Infinity,match-ln,
A3_multiserver_c2_loadMedium,A3,f17_f24off,3,9,53,288,7,24,6.973386617755015E-9,Infinity,match-ln,
A5_orForkUneven,A5,f17_f24off,3,13,53,427,,,2.001111264858365E-8,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_1c48de7a.lqnx:19: error: Task \
A2_multiclassB_2refs_demands_3to1_N20,A2,f17_f24off,2,20,53,894,9,26,0.001359531198530082,Infinity,match-ln,
A2_multiclassB_2refs_demands_3to1_N50,A2,f17_f24off,2,14,53,989,10,26,4.6846225916296334E-4,Infinity,match-ln,
B_scaleAxis_tasks5_chain,B,f17_f24off,3,25,53,2915,14,30,2.0970642853838956E-5,Infinity,match-ln,
A3_multiserver_c4_loadMedium,A3,f17_f24off,3,9,53,310,7,25,1.1480981767115277E-8,Infinity,match-ln,
C1_fanOut2_caller_c1,C1,f17_f24off,8,15,53,570,7,29,0.29442364637371543,Infinity,match-neither,
C1_fanOut2_caller_c2,C1,f17_f24off,8,19,53,721,7,35,0.29442364637371543,Infinity,match-neither,
A3_multiserver_c4_loadHigh,A3,f17_f24off,3,11,53,344,8,26,1.672147850555455E-8,Infinity,match-ln,
A4_multiclass_multiserver,A4,f17_f24off,2,16,53,1428,10,28,0.0058931291162968085,Infinity,match-ln,
A4_threeTier_multiclass,A4,f17_f24off,5,26,53,2262,13,31,0.0014133495844144029,Infinity,match-ln,
A3_multiserver_c2_loadHigh,A3,f17_f24off,3,10,53,281,8,29,1.1017551485745867E-8,Infinity,match-ln,
A3_multiserver_c8_loadMedium,A3,f17_f24off,3,9,53,340,7,28,1.0734038792624971E-8,Infinity,match-ln,
