fixture_name,sim_iters,rounds,t1,t2,t3
A1_chain_d3_N50,6,3,15,13,10
A1_chain_d5_N20,4,3,23,22,17
A1_chain_d5_N50,4,3,22,23,19
A1_chain_d5_N100,4,3,27,25,21
A1_chain_d8_N50,4,3,37,34,25
A2_multiclassA_2refs_loadLow_N20,3,3,16,16,10
A2_multiclassA_2refs_loadHigh_N20,3,3,16,14,11
A2_multiclassA_2refs_loadLow_N50,3,3,14,13,9
A2_multiclassA_2refs_loadHigh_N50,3,3,13,33,10
A2_multiclassB_2refs_demands_3to1_N20,3,3,14,26,11
A2_multiclassB_2refs_demands_5to1_N20,3,3,12,24,12
A2_multiclassB_2refs_demands_3to1_N50,3,3,10,22,10
A2_multiclassB_2refs_demands_5to1_N50,3,3,9,22,10
A2_multiclassC_2refs_think_2to1_N20,3,3,11,24,11
A2_multiclassC_2refs_think_4to1_N20,3,3,10,29,11
A2_multiclassC_2refs_think_2to1_N50,3,3,10,21,12
A2_multiclassC_2refs_think_4to1_N50,3,3,11,16,11
A3_multiserver_c2_loadLow,4,3,5,10,6
A3_multiserver_c2_loadMedium,4,3,6,9,6
A3_multiserver_c2_loadHigh,4,3,6,9,6
A3_multiserver_c4_loadLow,4,3,6,9,7
A3_multiserver_c4_loadMedium,4,3,6,9,9
A3_multiserver_c4_loadHigh,4,3,8,9,8
A3_multiserver_c8_loadLow,4,3,8,9,7
A3_multiserver_c8_loadMedium,4,3,7,9,7
A3_multiserver_c8_loadHigh,4,3,8,9,6
A4_threeTier_multiclass,9,3,20,26,18
A4_multiclass_multiserver,3,3,13,16,11
A4_multiclass_multientry,3,3,20,25,15
A4_chainPlusFanout,10,3,28,31,18
A4_webApplication,5,3,22,23,14
A4_databaseBackend,4,3,19,18,11
A4_threeTier_sequence,5,3,18,19,13
A4_parallelService_andFork,3,3,155,146,98
A4_retryLoop,6,3,17,15,12
A4_replyThenLog,4,3,12,9,8
A5_orForkUneven,4,3,11,9,7
A5_orForkThreeWay,4,3,11,11,9
A5_andForkThreeWay,3,3,223,221,265
A5_andForkMultiAct,3,3,260,280,327
A5_seqMultiEntry,4,3,13,15,12
A5_replyAtBound,4,3,9,10,7
A5_combinedDag,3,3,857,913,646
C6_multiclassAndFork,3,3,495,503,383
B_scaleAxis_tasks5_chain,4,3,19,18,14
B_scaleAxis_tasks10_chain,4,3,38,42,29
B_scaleAxis_tasks20_chain,4,3,94,111,66
B_scaleAxis_tasks40_chain,4,3,241,235,173
B_scaleAxis_tasks60_chain,4,3,470,540,403
B_scaleAxis_tasks5_fanout,13,3,36,28,20
B_scaleAxis_tasks10_fanout,13,3,123,91,74
B_scaleAxis_tasks20_fanout,13,3,558,533,485
B_scaleAxis_tasks40_fanout,13,3,4285,3609,3510
B_scaleAxis_tasks60_fanout,11,3,13667,13533,13484
C1_fanOut2_caller_c1,11,3,14,11,13
C1_fanOut2_caller_c2,11,3,12,11,12
C1_fanOut3_caller_c1,11,3,17,15,19
C1_fanOut3_caller_c2,11,3,19,14,19
C1_fanOut4_caller_c1,11,3,28,21,20
C1_fanOut4_caller_c2,11,3,26,21,19
C2_infTaskSimple,3,3,7,5,5
C2_infTaskShared,3,3,12,10,10
C2_infTaskDeep,3,3,12,12,12
C3_multiclassMultiEntry_2refs,3,3,11,11,10
C3_multiclassMultiEntry_3refs,3,3,16,19,15
C3_multiclassMultiEntry_asymmetric,3,3,12,14,9
C4_nearSaturation,4,3,6,7,5
C4_predicateThreshold,3,3,7,7,5
C4_lowDemand,4,3,7,6,5
C5_satFanout_tasks5,43,3,32,28,25
C5_satFanout_tasks10,19,3,98,82,93
C5_satFanout_tasks20,13,3,407,445,528
C5_satFanoutCaller_w2,29,3,14,16,21
C5_satFanoutCaller_w3,29,3,23,23,32
C5_satFanoutCaller_w4,35,3,33,32,40
C6_andForkPsHost,4,3,138,111,156
C7_deepChainMultiCall,7,3,17,12,20
C7_deepChainAllExp,8,3,20,14,21
